web3bugs_id,mvbench_sheet,oracle_id,source_dataset,source_category,source_subcategory,reporting_time,bug_link,finding_slug,contest_slug,finding_id,project_slug,finding_title,source_root_cause,source_exploitation_method,source_fix_strategy,evidence_source,overlaps_mvscan_eval_repo,mvbench_candidate_rows,annotator_1_semantic_label,annotator_1_mvsi_subtype,annotator_1_strict_b0_match,annotator_1_matched_b0_bucket_id,annotator_1_fn_reason,annotator_1_notes
59,59src,WEB3BUGS-59-H-01,Code4rena,High,O1,2022-02-14,https://github.com/code-423n4/2021-11-malt-findings/issues/263,2021-11-malt#h-01,2021-11-malt,H-01,malt,Timelock can be bypassed,"Governor can immediately replace governor and set delay to zero, bypassing the intended timelock process.","Current governor assigns a new governor, sets delay to zero, then exercises privileged operations immediately.",Require timelock self-calls for setGovernor and setDelay and administer roles through the timelock.,Web3Bugs report 59.md; Code4rena report; GitHub issue 263; Timelock.sol,yes,,other-logical-bug,NA,not_applicable,NA-not-MVSI,NA-not-MVSI,"invariant=Privileged timelock operations should only execute after queued delay. | entities=governor, delay, timelock roles | primary=governor | counterpart=delay | desync=setGovernor and setDelay can be called directly by governor instead of through delayed timelock execution. | sink=access-control | impact=governance | attacker=privileged | label_notes=Access-control/timelock-bypass bug; not labeled MV-SI because it is reducible to ordinary privileged access control. | strict_match=Not in MV-SI recall denominator."
59,59src,WEB3BUGS-59-H-02,Code4rena,High,SC,2022-02-14,https://github.com/code-423n4/2021-11-malt-findings/issues/323,2021-11-malt#h-02,2021-11-malt,H-02,malt,Unable to remove liquidity in Recovery Mode,"Recovery-mode whitelist is coupled to UniswapHandler, but removeLiquidity sends withdrawn Malt directly to the user, who is not whitelisted.","When recovery mode is active, removing liquidity through the whitelisted handler still triggers Malt transfer verification from the pair to msg.sender and reverts.","Remove liquidity to UniswapHandler first, then forward proceeds through an allowed path.",Web3Bugs report 59.md; Code4rena report; GitHub issue 323; README Recovery Mode docs; UniswapHandler.sol; PoolTransferVerification.sol,yes,,other-logical-bug,NA,not_applicable,NA-not-MVSI,NA-not-MVSI,"invariant=A whitelisted recovery-mode liquidity exit path must keep the verified transfer recipient synchronized with the whitelisted handler path. | entities=recovery-mode transfer block, whitelist(UniswapHandler), removeLiquidity recipient msg.sender | primary=recovery-mode transfer policy | counterpart=removeLiquidity recipient | external_proxy=UniswapV2Pair transfer state | desync=UniswapHandler consumes whitelist status but routes the AMM withdrawal to an unwhitelisted user address. | sink=branch | impact=DoS | attacker=unprivileged | label_notes=Strict re-audit: recovery-mode routing/whitelist mismatch; no protocol-maintained state constituent is updated while a stale counterpart reaches the sink. | strict_match=Not in MV-SI recall denominator."
59,59src,WEB3BUGS-59-H-03,Code4rena,High,O5,2022-02-14,https://github.com/code-423n4/2021-11-malt-findings/issues/63,2021-11-malt#h-03,2021-11-malt,H-03,malt,getAuctionCore function returns wrong values out of order,"AuctionEscapeHatch destructures getAuctionCore return values with one missing comma, binding active to preAuctionReserveRatio.","earlyExitReturn and _calculateMaltRequiredForExit use the wrong returned value when deciding auction-exit behavior, risking user funds.",Correct the tuple destructuring so active is bound to the tenth return value.,Web3Bugs report 59.md; Code4rena report; GitHub issue 63; AuctionEscapeHatch.sol; Auction.sol,yes,"sheet=59src | row=8 | abl=B0 | type=TP | finding=[single_var_cross_tx] idToAuction  tx-set -> getAuctionCore(uint256), purchaseArbitrageTokens(uint256)   • write  contracts/Auction.sol:197  (Auction.('purchaseArbitrageTokens', ['uint256'], []))   • read  contracts/Auction.sol:516  (Auction.('getAuctionCore', ['uint256'], ['uint256', 'uint256', 'uint256', 'uint256', 'uint256', 'uint256', 'uint256', 'uint256', 'uint256', 'bool'])) | report=https://github.com/code-423n4/2021-11-malt-findings/issues/63 | comments=[H-03] || sheet=59src | row=39 | abl=B0 | type=TP | finding=[single_var_cross_tx] idToAuction  tx-set -> currentPrice(uint256), getAuctionCore(uint256)   • write  contracts/Auction.sol:589  (Auction.('_endAuction', ['uint256'], []))   • read  contracts/Auction.sol:516  (Auction.('getAuctionCore', ['uint256'], ['uint256', 'uint256', 'uint256', 'uint256', 'uint256', 'uint256', 'uint256', 'uint256', 'uint256', 'bool'])) | report=https://github.com/code-423n4/2021-11-malt-findings/issues/63 | comments=Indirectly related to getAuctionCore() || sheet=59src | row=82 | abl=B1 | type=TP | finding=[single_var_cross_tx] idToAuction  tx-set -> getAuctionCore(uint256), purchaseArbitrageTokens(uint256)   • write  contracts/Auction.sol:198  (Auction.('purchaseArbitrageTokens', ['uint256'], []))   • read  contracts/Auction.sol:516  (Auction.('getAuctionCore', ['uint256'], ['uint256', 'uint256', 'uint256', 'uint256', 'uint256', 'uint256', 'uint256', 'uint256', 'uint256', 'bool'])) | report=https://github.com/code-423n4/2021-11-malt-findings/issues/63 | comments=[H-03] || sheet=59src | row=117 | abl=B1 | type=TP | finding=[single_var_cross_tx] idToAuction  tx-set -> currentPrice(uint256), getAuctionCore(uint256)   • write  contracts/Auction.sol:589  (Auction.('_endAuction', ['uint256'], []))   • read  contracts/Auction.sol:516  (Auction.('getAuctionCore', ['uint256'], ['uint256', 'uint256', 'uint256', 'uint256', 'uint256', 'uint256', 'uint256', 'uint256', 'uint256', 'bool'])) | report=https://github.com/code-423n4/2021-11-malt-findings/issues/63 | comments=Indirectly related to getAuctionCore() || sheet=59src | row=163 | abl=B2 | type=TP | finding=[single_var_cross_tx] idToAuction  tx-set -> getAuctionCore(uint256), purchaseArbitrageTokens(uint256)   • write  contracts/Auction.sol:197  (Auction.('purchaseArbitrageTokens', ['uint256'], []))   • read  contracts/Auction.sol:516  (Auction.('getAuctionCore', ['uint256'], ['uint256', 'uint256', 'uint256', 'uint256', 'uint256', 'uint256', 'uint256', 'uint256', 'uint256', 'bool'])) | report=https://github.com/code-423n4/2021-11-malt-findings/issues/63 | comments=[H-03] || sheet=59src | row=179 | abl=B2 | type=TP | finding=[single_var_cross_tx] idToAuction  tx-set -> currentPrice(uint256), getAuctionCore(uint256)   • write  contracts/Auction.sol:589  (Auction.('_endAuction', ['uint256'], []))   • read  contracts/Auction.sol:516  (Auction.('getAuctionCore', ['uint256'], ['uint256', 'uint256', 'uint256', 'uint256', 'uint256', 'uint256', 'uint256', 'uint256', 'uint256', 'bool'])) | report=https://github.com/code-423n4/2021-11-malt-findings/issues/63 | comments=Indirectly related to getAuctionCore() || sheet=59src | row=223 | abl=B3 | type=TP | finding=[single_var_cross_tx] idToAuction  tx-set -> getAuctionCore(uint256), purchaseArbitrageTokens(uint256)   • write  contracts/Auction.sol:192  (Auction.('purchaseArbitrageTokens', ['uint256'], []))   • read  contracts/Auction.sol:516  (Auction.('getAuctionCore', ['uint256'], ['uint256', 'uint256', 'uint256', 'uint256', 'uint256', 'uint256', 'uint256', 'uint256', 'uint256', 'bool'])) | report=https://github.com/code-423n4/2021-11-malt-findings/issues/63 | comments=[H-03] || sheet=59src | row=256 | abl=B3 | type=TP | finding=[single_var_cross_tx] idToAuction  tx-set -> currentPrice(uint256), getAuctionCore(uint256)   • write  contracts/Auction.sol:589  (Auction.('_endAuction', ['uint256'], []))   • read  contracts/Auction.sol:516  (Auction.('getAuctionCore', ['uint256'], ['uint256', 'uint256', 'uint256', 'uint256', 'uint256', 'uint256', 'uint256', 'uint256', 'uint256', 'bool'])) | report=https://github.com/code-423n4/2021-11-malt-findings/issues/63 | comments=Indirectly related to getAuctionCore() || sheet=59src | row=306 | abl=B6 | type=TP | finding=[single_var_cross_tx] idToAuction  tx-set -> getAuctionCore(uint256), purchaseArbitrageTokens(uint256)   • write  contracts/Auction.sol:198  (Auction.('purchaseArbitrageTokens', ['uint256'], []))   • read  contracts/Auction.sol:516  (Auction.('getAuctionCore', ['uint256'], ['uint256', 'uint256', 'uint256', 'uint256', 'uint256', 'uint256', 'uint256', 'uint256', 'uint256', 'bool'])) | report=https://github.com/code-423n4/2021-11-malt-findings/issues/63 | comments=[H-03] || sheet=59src | row=325 | abl=B6 | type=TP | finding=[single_var_cross_tx] idToAuction  tx-set -> currentPrice(uint256), getAuctionCore(uint256)   • write  contracts/Auction.sol:589  (Auction.('_endAuction', ['uint256'], []))   • read  contracts/Auction.sol:516  (Auction.('getAuctionCore', ['uint256'], ['uint256', 'uint256', 'uint256', 'uint256', 'uint256', 'uint256', 'uint256', 'uint256', 'uint256', 'bool'])) | report=https://github.com/code-423n4/2021-11-malt-findings/issues/63 | comments=Indirectly related to getAuctionCore()",other-logical-bug,NA,not_applicable,NA-not-MVSI,NA-not-MVSI,"invariant=AuctionEscapeHatch must consume the active flag returned by Auction.getAuctionCore, not an adjacent return slot. | entities=getAuctionCore return tuple, active flag, preAuctionReserveRatio | primary=Auction.getAuctionCore tuple | counterpart=AuctionEscapeHatch local active binding | desync=Missing comma shifts the consumed tuple field from active to preAuctionReserveRatio. | sink=branch | impact=loss | attacker=unprivileged | label_notes=Tuple-order programming error; not treated as state synchronization. | strict_match=Not in MV-SI recall denominator."
59,59src,WEB3BUGS-59-H-04,Code4rena,High,S6-4,2022-02-14,https://github.com/code-423n4/2021-11-malt-findings/issues/294,2021-11-malt#h-04,2021-11-malt,H-04,malt,AuctionBurnReserveSkew.getPegDeltaFrequency wrong implementation can result in improper Liquidity Extension use,Partial observation windows use auctionAverageLookback as the denominator even when only count observations exist.,"Before the observation ring is full, getPegDeltaFrequency underestimates peg delta frequency and feeds an inaccurate realBurnBudget calculation.",Use count as the denominator while count is less than auctionAverageLookback.,Web3Bugs report 59.md; Code4rena report; GitHub issue 294; AuctionBurnReserveSkew.sol,yes,,other-logical-bug,NA,not_applicable,NA-not-MVSI,NA-not-MVSI,"invariant=A moving average over observed peg deltas must divide by the number of valid observations, not by unfilled lookback capacity. | entities=count, auctionAverageLookback, pegObservations, realBurnBudget | primary=count valid observations | counterpart=auctionAverageLookback denominator | desync=getPegDeltaFrequency consumes a fixed lookback denominator without synchronizing it to the shorter valid observation count. | sink=accounting | impact=loss | attacker=unprivileged | label_notes=Strict re-audit: denominator/count bug is reducible to arithmetic/formula error, not MV-SI. | strict_match=Not in MV-SI recall denominator."
59,59src,WEB3BUGS-59-H-05,Code4rena,High,S6-4,2022-02-14,https://github.com/code-423n4/2021-11-malt-findings/issues/268,2021-11-malt#h-05,2021-11-malt,H-05,malt,AuctionEschapeHatch.sol#exitEarly updates state of the auction wrongly,"exitEarly subtracts penalty-adjusted maltQuantity but full amount commitment, corrupting the userMaltPurchased/userCommitment ratio.","A user splits profitable early exits so the ratio rises after each exit, reducing penalties and leaving commitment that can later claim arbitrage.",Redesign auction participation accounting so all proportional fields are updated consistently.,Web3Bugs report 59.md; Code4rena report; GitHub issue 268; AuctionEscapeHatch.sol; Auction.sol,yes,"sheet=59src | row=4 | abl=B0 | type=FP | finding=[single_var_cross_tx] idToAuction  tx-set -> claimArbitrage(uint256), purchaseArbitrageTokens(uint256)   • write  contracts/Auction.sol:843  (Auction.('allocateArbRewards', ['uint256'], ['uint256']))   • write  contracts/Auction.sol:197  (Auction.('purchaseArbitrageTokens', ['uint256'], []))   • read  contracts/Auction.sol:640  (Auction.('_finalizeAuction', ['uint256'], []))   • read  contracts/Auction.sol:859  (Auction.('allocateArbRewards', ['uint256'], ['uint256'])) | report= | comments=Adjacent to [H-05], but not distinct or zero-day in and of itself. If this was a multi-var report with a few additional specs, this could be a new bug || sheet=59src | row=80 | abl=B1 | type=FP | finding=[single_var_cross_tx] idToAuction  tx-set -> claimArbitrage(uint256), purchaseArbitrageTokens(uint256)   • write  contracts/Auction.sol:198  (Auction.('purchaseArbitrageTokens', ['uint256'], []))   • read  contracts/Auction.sol:221  (Auction.('claimArbitrage', ['uint256'], [])) | report= | comments=Adjacent to [H-05], but not distinct or zero-day in and of itself. If this was a multi-var report with a few additional specs, this could be a new bug || sheet=59src | row=172 | abl=B2 | type=FP | finding=[single_var_cross_tx] idToAuction  tx-set -> claimArbitrage(uint256), purchaseArbitrageTokens(uint256)   • write  contracts/Auction.sol:197  (Auction.('purchaseArbitrageTokens', ['uint256'], []))   • read  contracts/Auction.sol:221  (Auction.('claimArbitrage', ['uint256'], [])) | report= | comments=Adjacent to [H-05], but not distinct or zero-day in and of itself. If this was a multi-var report with a few additional specs, this could be a new bug || sheet=59src | row=226 | abl=B3 | type=FP | finding=[single_var_cross_tx] idToAuction  tx-set -> claimArbitrage(uint256), purchaseArbitrageTokens(uint256)   • write  contracts/Auction.sol:192  (Auction.('purchaseArbitrageTokens', ['uint256'], []))   • read  contracts/Auction.sol:221  (Auction.('claimArbitrage', ['uint256'], [])) | report= | comments=Adjacent to [H-05], but not distinct or zero-day in and of itself. If this was a multi-var report with a few additional specs, this could be a new bug || sheet=59src | row=314 | abl=B6 | type=FP | finding=[single_var_cross_tx] idToAuction  tx-set -> claimArbitrage(uint256), purchaseArbitrageTokens(uint256)   • write  contracts/Auction.sol:198  (Auction.('purchaseArbitrageTokens', ['uint256'], []))   • read  contracts/Auction.sol:221  (Auction.('claimArbitrage', ['uint256'], [])) | report= | comments=Adjacent to [H-05], but not distinct or zero-day in and of itself. If this was a multi-var report with a few additional specs, this could be a new bug",MV-SI,Type-II-asset-utility,no,NA-no-strict-B0-match,FN7-bucket-adjacent-not-strict,"invariant=A participant's remaining commitment and remaining purchased Malt must decrease proportionally when an early exit consumes auction position. | entities=userCommitment, userMaltPurchased, maltQuantity, amount | primary=userCommitment | counterpart=userMaltPurchased | desync=exitEarly/amendAccountParticipation updates commitment by full amount while updating Malt purchased by a penalty-adjusted amount. | sink=accounting | impact=overpayment | attacker=unprivileged | label_notes=Clear multi-variable accounting desynchronization. | strict_match=B0 row 4 is adjacent and marked FP; it does not represent the exitEarly auction-state desynchronization."
59,59src,WEB3BUGS-59-M-01,Code4rena,Medium,NA,2022-02-14,https://github.com/code-423n4/2021-11-malt-findings/issues/125,2021-11-malt#m-01,2021-11-malt,M-01,malt,TIMELOCK_ROLE Has Absolute Power to Withdraw All FUND May Raise Red Flags for Investors,TIMELOCK_ROLE can emergency-withdraw all funds from protocol contracts.,A timelock-role holder can route funds to arbitrary destinations through emergency withdrawal functions.,"Disclose or constrain emergency withdrawal powers, preferably via pause-only controls or hardcoded/multisig destinations.",Web3Bugs report 59.md; Code4rena report; GitHub issue 125; Permissions.sol,yes,,other-logical-bug,NA,not_applicable,NA-not-MVSI,NA-not-MVSI,"invariant=Emergency controls should not allow unilateral arbitrary fund withdrawal beyond disclosed trust assumptions. | entities=TIMELOCK_ROLE, emergencyWithdraw destinations, protocol balances | primary=TIMELOCK_ROLE | counterpart=protocol balances | desync=Privileged emergency withdrawal consumes role authority to transfer all funds. | sink=transfer | impact=loss | attacker=privileged | label_notes=GitHub issue carried a duplicate label, but the final C4 report and judge note explicitly kept it distinct from H-01. | strict_match=Not in MV-SI recall denominator."
59,59src,WEB3BUGS-59-M-02,Code4rena,Medium,NA,2022-02-14,https://github.com/code-423n4/2021-11-malt-findings/issues/219,2021-11-malt#m-02,2021-11-malt,M-02,malt,Frontrunning in UniswapHandler calls to UniswapV2Router,UniswapHandler passes zero minimum output for swaps and liquidity removal.,Mempool attackers sandwich guaranteed trades to extract value from protocol calls using UniswapHandler.,Add slippage bounds for swaps and removeLiquidity operations.,Web3Bugs report 59.md; Code4rena report; GitHub issue 219; UniswapHandler.sol,yes,,other-logical-bug,NA,not_applicable,NA-not-MVSI,NA-not-MVSI,"invariant=Protocol swaps should enforce minimum received amounts against adverse price movement. | entities=amountOutMin, AMM reserves, UniswapHandler swap inputs | primary=amountOutMin | counterpart=AMM execution price | external_proxy=UniswapV2 reserves | desync=swap and removeLiquidity use zero minimums, allowing sandwich execution at manipulated prices. | sink=transfer | impact=loss | attacker=unprivileged | label_notes=MEV/slippage bug rather than stale coupled state. | strict_match=Not in MV-SI recall denominator."
59,59src,WEB3BUGS-59-M-03,Code4rena,Medium,NA,2022-02-14,https://github.com/code-423n4/2021-11-malt-findings/issues/285,2021-11-malt#m-03,2021-11-malt,M-03,malt,AbstractRewardMine.sol#setRewardToken is dangerous,Changing rewardToken resets reward accounting expectations while accumulated stake padding remains from the old token context.,Admin changes rewardToken; totalDeclaredReward may become zero while _userStakePadding and _globalStakePadding still affect reward share calculations.,Remove setRewardToken or make reward token immutable; otherwise migrate/reset accounting consistently.,Web3Bugs report 59.md; Code4rena report; GitHub issue 285; AbstractRewardMine.sol; README reward docs,yes,,MV-SI,Type-II-asset-utility,no,NA-no-strict-B0-match,FN0-no-same-finding-tag-row,"invariant=Reward token identity and accumulated stake padding must refer to the same reward accounting domain. | entities=rewardToken, totalDeclaredReward, _userStakePadding, _globalStakePadding | primary=rewardToken | counterpart=stake padding variables | desync=setRewardToken updates token identity without synchronizing accumulated padding and declared-reward state. | sink=accounting | impact=loss | attacker=privileged | label_notes=Privileged path, but the vulnerability is the unsynchronized reward-accounting state. | strict_match=No same-finding MV-Bench row was found for setRewardToken/reward mine accounting."
59,59src,WEB3BUGS-59-M-04,Code4rena,Medium,NA,2022-02-14,https://github.com/code-423n4/2021-11-malt-findings/issues/124,2021-11-malt#m-04,2021-11-malt,M-04,malt,The Power Structure is Too Centralized And Protocol May Break If Anything Happen to Admin,"Protocol roles are heavily admin-managed, creating operational and malicious-admin risk.","If the admin is unavailable or malicious, many protocol roles and functions can break or be abused.",Transfer administration to multisig or DAO and reduce unnecessary privileged roles.,Web3Bugs report 59.md; Code4rena report; GitHub issue 124; role-managed contracts,yes,,other-logical-bug,NA,not_applicable,NA-not-MVSI,NA-not-MVSI,"invariant=Protocol operation should not depend on a single admin for broad role management. | entities=ADMIN_ROLE, protocol role assignments | primary=ADMIN_ROLE | counterpart=dependent protocol roles | desync=Centralized admin controls role configuration across many contracts. | sink=access-control | impact=governance | attacker=privileged | label_notes=Trust/centralization finding, not a state-desynchronization bug. | strict_match=Not in MV-SI recall denominator."
59,59src,WEB3BUGS-59-M-05,Code4rena,Medium,NA,2022-02-14,https://github.com/code-423n4/2021-11-malt-findings/issues/195,2021-11-malt#m-05,2021-11-malt,M-05,malt,_notSameBlock() can be circumvented in bondToAccount(),"The same-block guard tracks msg.sender, but bondToAccount can be called through different intermediary contracts.",An attacker uses different forwarding contracts so each call has a different msg.sender and bypasses the intended same-block guard.,Add access control to bondToAccount or redesign the guard around the protected logical actor/action.,Web3Bugs report 59.md; Code4rena report; GitHub issue 195; Bonding.sol; Permissions.sol,yes,,other-logical-bug,NA,not_applicable,NA-not-MVSI,NA-not-MVSI,"invariant=Same-block action restrictions should bind to the intended logical actor, not only the immediate caller when forwarding is allowed. | entities=lastBlock[msg.sender], logical account, bondToAccount caller | primary=lastBlock[msg.sender] | counterpart=logical end user/account | external_proxy=forwarder contract address | desync=bondToAccount consumes per-sender guard state while allowing the sender identity to be changed through forwarding contracts. | sink=branch | impact=other | attacker=unprivileged | label_notes=Guard-bypass/reentrancy-pattern issue; not labeled MV-SI. | strict_match=Not in MV-SI recall denominator."
