packet_row_id,source_pool,oracle_id,source_dataset,source_category,source_subcategory,reporting_time,bug_link,finding_slug,contest_slug,finding_id,project_slug,finding_title,source_root_cause,source_exploitation_method,source_fix_strategy,evidence_source,mvbench_b0_candidate_rows,mvbench_all_candidate_rows,annotator_2_semantic_label,annotator_2_mvsi_subtype,annotator_2_strict_b0_match,annotator_2_matched_b0_bucket_id,annotator_2_fn_reason,annotator_2_notes,c4_verdict,c4_reason
known-bug::TOSEM-RC-DYNAMIC-DEPENDENT-UPDATE-OMISSION-001,TOSEM-overlap,TOSEM-RC-DYNAMIC-DEPENDENT-UPDATE-OMISSION-001,TOSEM,Dynamic Dependent Update Omission,,2021-08-17,https://code4rena.com/reports/2021-07-wildcredit#h-02-lendingpairliquidateaccount-does-not-accrue-and-update-cumulativeinterestrate,2021-07-wildcredit#h-02,2021-07-wildcredit,H-02,wildcredit,,The accumulated interest rate is not updated during account liquidation.,"Interest calculation error, the borrower bypassed interest payment through self liquidation.",Revise the previous accumulated interest rate update method.,"TOSEM Dynamic Dependent Update Omission row; Web3Bugs/Code4rena report 18 H-02; local code dataset/Web3Bugs/contracts/18/contracts/LendingPair.sol:179-190,246-289,386-394,456-460.","sheet=18 | row=2 | abl=B0 | type=TP | finding=[single_var_cross_tx] lastBlockAccrued tx-set -> accrue() • write contracts/LendingPair.sol:183 (LendingPair.('accrue', [], [])) • read contracts/LendingPair.sol:180 (LendingPair.('accrue', [], [])) | report=https://github.com/code-423n4/2021-07-wildcredit-findings/issues/116 https://github.com/code-423n4/2021-07-wildcredit-findings/issues/122 https://github.com/code-423n4/2021-07-wildcredit-findings/issues/115 https://github.com/code-423n4/2021-07-wildcredit-findings/issues/124 | comments=Hinges on H-01/H-02/M-04/L-04 but doesn't introduce a specific surface using just this finding. Marking TP for the bugs that can be surfaced from this finding","sheet=18 | row=2 | abl=B0 | type=TP | finding=[single_var_cross_tx] lastBlockAccrued tx-set -> accrue() • write contracts/LendingPair.sol:183 (LendingPair.('accrue', [], [])) • read contracts/LendingPair.sol:180 (LendingPair.('accrue', [], [])) | report=https://github.com/code-423n4/2021-07-wildcredit-findings/issues/116 https://github.com/code-423n4/2021-07-wildcredit-findings/issues/122 https://github.com/code-423n4/2021-07-wildcredit-findings/issues/115 https://github.com/code-423n4/2021-07-wildcredit-findings/issues/124 | comments=Hinges on H-01/H-02/M-04/L-04 but doesn't introduce a specific surface using just this finding. Marking TP for the bugs that can be surfaced from this finding

---

sheet=18 | row=4 | abl=B1 | type=TP | finding=[single_var_cross_tx] lastBlockAccrued tx-set -> accrue() • write contracts/LendingPair.sol:183 (LendingPair.('accrue', [], [])) • read contracts/LendingPair.sol:180 (LendingPair.('accrue', [], [])) | report=https://github.com/code-423n4/2021-07-wildcredit-findings/issues/116 https://github.com/code-423n4/2021-07-wildcredit-findings/issues/122 https://github.com/code-423n4/2021-07-wildcredit-findings/issues/115 https://github.com/code-423n4/2021-07-wildcredit-findings/issues/124 | comments=Hinges on H-01/H-02/M-04/L-04 but doesn't introduce a specific surface using just this finding. Marking TP for the bugs that can be surfaced from this finding

---

sheet=18 | row=6 | abl=B2 | type=TP | finding=[single_var_cross_tx] lastBlockAccrued tx-set -> accrue() • write contracts/LendingPair.sol:183 (LendingPair.('accrue', [], [])) • read contracts/LendingPair.sol:180 (LendingPair.('accrue', [], [])) | report=https://github.com/code-423n4/2021-07-wildcredit-findings/issues/116 https://github.com/code-423n4/2021-07-wildcredit-findings/issues/122 https://github.com/code-423n4/2021-07-wildcredit-findings/issues/115 https://github.com/code-423n4/2021-07-wildcredit-findings/issues/124 | comments=Hinges on H-01/H-02/M-04/L-04 but doesn't introduce a specific surface using just this finding. Marking TP for the bugs that can be surfaced from this finding

---

sheet=18 | row=8 | abl=B3 | type=TP | finding=[single_var_cross_tx] lastBlockAccrued tx-set -> accrue() • write contracts/LendingPair.sol:183 (LendingPair.('accrue', [], [])) • read contracts/LendingPair.sol:180 (LendingPair.('accrue', [], [])) | report=https://github.com/code-423n4/2021-07-wildcredit-findings/issues/116 https://github.com/code-423n4/2021-07-wildcredit-findings/issues/122 https://github.com/code-423n4/2021-07-wildcredit-findings/issues/115 https://github.com/code-423n4/2021-07-wildcredit-findings/issues/124 | comments=Hinges on H-01/H-02/M-04/L-04 but doesn't introduce a specific surface using just this finding. Marking TP for the bugs that can be surfaced from this finding

---

sheet=18 | row=10 | abl=B4 | type=TP | finding=[single_var_cross_tx] lastBlockAccrued tx-set -> accrue() • write contracts/LendingPair.sol:183 (LendingPair.('accrue', [], [])) • read contracts/LendingPair.sol:180 (LendingPair.('accrue', [], [])) | report=https://github.com/code-423n4/2021-07-wildcredit-findings/issues/116 https://github.com/code-423n4/2021-07-wildcredit-findings/issues/122 https://github.com/code-423n4/2021-07-wildcredit-findings/issues/115 https://github.com/code-423n4/2021-07-wildcredit-findings/issues/124 | comments=Hinges on H-01/H-02/M-04/L-04 but doesn't introduce a specific surface using just this finding. Marking TP for the bugs that can be surfaced from this finding

---

sheet=18 | row=11 | abl=B6 | type=TP | finding=[single_var_cross_tx] lastBlockAccrued tx-set -> accrue() • write contracts/LendingPair.sol:183 (LendingPair.('accrue', [], [])) • read contracts/LendingPair.sol:180 (LendingPair.('accrue', [], [])) | report=https://github.com/code-423n4/2021-07-wildcredit-findings/issues/116 https://github.com/code-423n4/2021-07-wildcredit-findings/issues/122 https://github.com/code-423n4/2021-07-wildcredit-findings/issues/115 https://github.com/code-423n4/2021-07-wildcredit-findings/issues/124 | comments=Hinges on H-01/H-02/M-04/L-04 but doesn't introduce a specific surface using just this finding. Marking TP for the bugs that can be surfaced from this finding",,,,,,,Y,"a: Interest accrual is an economic decision boundary; b: borrower bypasses interest payment via self-liquidation, granting unauthorized economic benefit; c: attacker can self-liquidate to exploit the stale rate."
known-bug::TOSEM-RC-DYNAMIC-DEPENDENT-UPDATE-OMISSION-002,TOSEM-overlap,TOSEM-RC-DYNAMIC-DEPENDENT-UPDATE-OMISSION-002,TOSEM,Dynamic Dependent Update Omission,,2021-09-15,https://code4rena.com/reports/2021-07-pooltogether#h-03-setyieldsource-leads-to-temporary-wrong-results,2021-07-pooltogether#h-03,2021-07-pooltogether,H-03,pooltogether,,Token balances are not promptly updated when the contract switches revenue sources.,"The calculation of balance and shares is incorrect, resulting in users receiving undeserved shares.","Remove calls to the external functions transferFunds and setYieldSource, and restrict swapYieldSource to owner-only access.","TOSEM Dynamic Dependent Update Omission row; Web3Bugs/Code4rena report 24 H-03; local code dataset/Web3Bugs/contracts/24/in_scope/SwappableYieldSource.sol:148-176,208-226,254-310.",,,,,,,,,Y,"a: Balance/share calculation is an economic decision boundary; b: users receive undeserved shares due to stale balance, corrupting accounting; c: any user interacting during a revenue-source switch can exploit the lag."
known-bug::TOSEM-RC-DYNAMIC-DEPENDENT-UPDATE-OMISSION-004,TOSEM-overlap,TOSEM-RC-DYNAMIC-DEPENDENT-UPDATE-OMISSION-004,TOSEM,Dynamic Dependent Update Omission,,2022-01-26,https://code4rena.com/reports/2021-09-defiprotocol#h-02-basketsolauctionburn-a-failed-auction-will-freeze-part-of-the-funds,2021-09-defiprotocol#h-02,2021-09-defiprotocol,H-02,defiprotocol,,The auctionBurn function does not update ibRatio when burning auction bonds.,"The calculation of total supply was incorrect, resulting in some assets being frozen.",Update ibRatio based on the withdrawn amount in the auctionBurn function.,"TOSEM Dynamic Dependent Update Omission row; Web3Bugs/Code4rena report 36 H-02; local code dataset/Web3Bugs/contracts/36/contracts/contracts/Basket.sol:89-125,216-240.",,"sheet=36contracts | row=44 | abl=B1 | type=TP | finding=[single_var_cross_tx] ibRatio tx-set -> bondForRebalance(), updateIBRatio(uint256) • write contracts/Basket.sol:217 (Basket.('updateIBRatio', ['uint256'], ['uint256'])) • read contracts/Basket.sol:239 (Basket.('pullUnderlying', ['uint256', 'address'], [])) | report=https://github.com/code-423n4/2021-09-defiprotocol-findings/issues/223 https://github.com/code-423n4/2021-09-defiprotocol-findings/issues/223 | comments=[H-01], [H-02]

---

sheet=36contracts | row=91 | abl=B3 | type=TP | finding=[single_var_cross_tx] ibRatio tx-set -> updateIBRatio(uint256) • write contracts/Basket.sol:217 (Basket.('updateIBRatio', ['uint256'], ['uint256'])) • read contracts/Basket.sol:219 (Basket.('updateIBRatio', ['uint256'], ['uint256'])) | report=https://github.com/code-423n4/2021-09-defiprotocol-findings/issues/134 https://github.com/code-423n4/2021-09-defiprotocol-findings/issues/134 | comments=[H-02]",,,,,,,Y,"a: ibRatio governs asset withdrawal eligibility—an economic decision boundary; b: incorrect total supply calculation caused by stale ibRatio freezes assets, breaking liveness; c: any auctionBurn caller triggers the frozen-fund condition."
known-bug::TOSEM-RC-DYNAMIC-DEPENDENT-UPDATE-OMISSION-007,TOSEM-overlap,TOSEM-RC-DYNAMIC-DEPENDENT-UPDATE-OMISSION-007,TOSEM,Dynamic Dependent Update Omission,,2022-02-09,https://code4rena.com/reports/2021-12-mellow#h-04-aavevault-does-not-update-tvl-on-depositwithdraw,2021-12-mellow#h-04,2021-12-mellow,H-04,mellow,,The total value locked (TVL) is not promptly updated when users deposit or withdraw.,Wrong token share calculated using outdated TVL.,"First update the TVL, then proceed with other operations when depositing or withdrawing tokens.",TOSEM Dynamic Dependent Update Omission row; Web3Bugs/Code4rena report 58 H-04; local code dataset/Web3Bugs/contracts/58/mellow-vaults/contracts/AaveVault.sol:25-94 and dataset/Web3Bugs/contracts/58/mellow-vaults/contracts/LpIssuer.sol:84-128.,,,,,,,,,Y,"a: TVL is used directly in token-share calculation—an economic decision boundary; b: outdated TVL corrupts share accounting, misallocating tokens; c: any depositor or withdrawer can receive wrong shares while TVL is stale."
known-bug::TOSEM-RC-DYNAMIC-DEPENDENT-UPDATE-OMISSION-009,TOSEM-overlap,TOSEM-RC-DYNAMIC-DEPENDENT-UPDATE-OMISSION-009,TOSEM,Dynamic Dependent Update Omission,,2022-05-03,https://code4rena.com/reports/2021-12-vader#h-10-previousprices-is-never-updated-upon-syncing-token-price,2021-12-vader#h-10,2021-12-vader,H-10,vader,,The syncVaderPrice function does not update previousPrices after synchronizing prices.,The attacker uses the lagged previousPrices to calculate the liquidity assessment and manipulate the liquidity share.,Update the previousPrices array after price synchronization.,"TOSEM Dynamic Dependent Update Omission row; Web3Bugs/Code4rena report 70 H-10; local code dataset/Web3Bugs/contracts/70/contracts/lbt/LiquidityBasedTWAP.sol:113-189,221-234,316-382,415-427.","sheet=70 | row=2 | abl=B0 | type=TP | finding=[multi_var_cross_contract] twapData, maxUpdateWindow tx-set -> getChainlinkPrice(address) • write lbt/LiquidityBasedTWAP.sol:484 (LiquidityBasedTWAP.('_addUSDVPair', ['IERC20', 'IAggregatorV3', 'uint256'], [])) • write lbt/LiquidityBasedTWAP.sol:490 (LiquidityBasedTWAP.('_addUSDVPair', ['IERC20', 'IAggregatorV3', 'uint256'], [])) • read lbt/LiquidityBasedTWAP.sol:201 (LiquidityBasedTWAP.('_calculateVaderPrice', ['uint256[]', 'uint256'], ['uint256'])) • read lbt/LiquidityBasedTWAP.sol:395 (LiquidityBasedTWAP.('_calculateUSDVPrice', ['uint256[]', 'uint256'], ['uint256'])) | report=https://github.com/code-423n4/2021-12-vader-findings/issues/160 https://github.com/code-423n4/2021-12-vader-findings/issues/160 | comments=[M-02] oracle replacement risk; interacts with [H-11], [H-03], [H-05], [H-10]","sheet=70 | row=2 | abl=B0 | type=TP | finding=[multi_var_cross_contract] twapData, maxUpdateWindow tx-set -> getChainlinkPrice(address) • write lbt/LiquidityBasedTWAP.sol:484 (LiquidityBasedTWAP.('_addUSDVPair', ['IERC20', 'IAggregatorV3', 'uint256'], [])) • write lbt/LiquidityBasedTWAP.sol:490 (LiquidityBasedTWAP.('_addUSDVPair', ['IERC20', 'IAggregatorV3', 'uint256'], [])) • read lbt/LiquidityBasedTWAP.sol:201 (LiquidityBasedTWAP.('_calculateVaderPrice', ['uint256[]', 'uint256'], ['uint256'])) • read lbt/LiquidityBasedTWAP.sol:395 (LiquidityBasedTWAP.('_calculateUSDVPrice', ['uint256[]', 'uint256'], ['uint256'])) | report=https://github.com/code-423n4/2021-12-vader-findings/issues/160 https://github.com/code-423n4/2021-12-vader-findings/issues/160 | comments=[M-02] oracle replacement risk; interacts with [H-11], [H-03], [H-05], [H-10]

---

sheet=70 | row=42 | abl=B1 | type=TP | finding=[multi_var_cross_contract] twapData, maxUpdateWindow tx-set -> getChainlinkPrice(address) • write lbt/LiquidityBasedTWAP.sol:490 (LiquidityBasedTWAP.('_addUSDVPair', ['IERC20', 'IAggregatorV3', 'uint256'], [])) • write lbt/LiquidityBasedTWAP.sol:297 (LiquidityBasedTWAP.('_addVaderPair', ['IUniswapV2Pair', 'IAggregatorV3', 'uint256'], [])) • read lbt/LiquidityBasedTWAP.sol:303 (LiquidityBasedTWAP.('_addVaderPair', ['IUniswapV2Pair', 'IAggregatorV3', 'uint256'], [])) • read lbt/LiquidityBasedTWAP.sol:395 (LiquidityBasedTWAP.('_calculateUSDVPrice', ['uint256[]', 'uint256'], ['uint256'])) | report=https://github.com/code-423n4/2021-12-vader-findings/issues/160 https://github.com/code-423n4/2021-12-vader-findings/issues/160 | comments=[M-02] oracle replacement risk; interacts with [H-11], [H-03], [H-05], [H-10]

---

sheet=70 | row=89 | abl=B2 | type=TP | finding=[multi_var_cross_contract] twapData, maxUpdateWindow tx-set -> getChainlinkPrice(address) • write lbt/LiquidityBasedTWAP.sol:490 (LiquidityBasedTWAP.('_addUSDVPair', ['IERC20', 'IAggregatorV3', 'uint256'], [])) • write lbt/LiquidityBasedTWAP.sol:297 (LiquidityBasedTWAP.('_addVaderPair', ['IUniswapV2Pair', 'IAggregatorV3', 'uint256'], [])) • read lbt/LiquidityBasedTWAP.sol:303 (LiquidityBasedTWAP.('_addVaderPair', ['IUniswapV2Pair', 'IAggregatorV3', 'uint256'], [])) • read lbt/LiquidityBasedTWAP.sol:490 (LiquidityBasedTWAP.('_addUSDVPair', ['IERC20', 'IAggregatorV3', 'uint256'], [])) | report=https://github.com/code-423n4/2021-12-vader-findings/issues/160 https://github.com/code-423n4/2021-12-vader-findings/issues/160 | comments=[M-02] oracle replacement risk; interacts with [H-11], [H-03], [H-05], [H-10]

---

sheet=70 | row=124 | abl=B3 | type=TP | finding=[multi_var_cross_contract] twapData, maxUpdateWindow tx-set -> getChainlinkPrice(address) • write lbt/LiquidityBasedTWAP.sol:303 (LiquidityBasedTWAP.('_addVaderPair', ['IUniswapV2Pair', 'IAggregatorV3', 'uint256'], [])) • write lbt/LiquidityBasedTWAP.sol:297 (LiquidityBasedTWAP.('_addVaderPair', ['IUniswapV2Pair', 'IAggregatorV3', 'uint256'], [])) • read lbt/LiquidityBasedTWAP.sol:395 (LiquidityBasedTWAP.('_calculateUSDVPrice', ['uint256[]', 'uint256'], ['uint256'])) • read lbt/LiquidityBasedTWAP.sol:201 (LiquidityBasedTWAP.('_calculateVaderPrice', ['uint256[]', 'uint256'], ['uint256'])) | report=https://github.com/code-423n4/2021-12-vader-findings/issues/160 https://github.com/code-423n4/2021-12-vader-findings/issues/160 | comments=[M-02] oracle replacement risk; interacts with [H-11], [H-03], [H-05], [H-10]

---

sheet=70 | row=171 | abl=B4 | type=TP | finding=[single_var_cross_tx] maxUpdateWindow tx-set -> getChainlinkPrice(address) • write lbt/LiquidityBasedTWAP.sol:490 (LiquidityBasedTWAP.('_addUSDVPair', ['IERC20', 'IAggregatorV3', 'uint256'], [])) • write lbt/LiquidityBasedTWAP.sol:303 (LiquidityBasedTWAP.('_addVaderPair', ['IUniswapV2Pair', 'IAggregatorV3', 'uint256'], [])) • read lbt/LiquidityBasedTWAP.sol:490 (LiquidityBasedTWAP.('_addUSDVPair', ['IERC20', 'IAggregatorV3', 'uint256'], [])) • read lbt/LiquidityBasedTWAP.sol:303 (LiquidityBasedTWAP.('_addVaderPair', ['IUniswapV2Pair', 'IAggregatorV3', 'uint256'], [])) | report=https://github.com/code-423n4/2021-12-vader-findings/issues/160 https://github.com/code-423n4/2021-12-vader-findings/issues/160 | comments=[M-02] oracle replacement risk; interacts with [H-11], [H-03], [H-05], [H-10]

---

sheet=70 | row=193 | abl=B6 | type=TP | finding=[multi_var_cross_contract] twapData, maxUpdateWindow tx-set -> getChainlinkPrice(address) • write lbt/LiquidityBasedTWAP.sol:303 (LiquidityBasedTWAP.('_addVaderPair', ['IUniswapV2Pair', 'IAggregatorV3', 'uint256'], [])) • write lbt/LiquidityBasedTWAP.sol:297 (LiquidityBasedTWAP.('_addVaderPair', ['IUniswapV2Pair', 'IAggregatorV3', 'uint256'], [])) • read lbt/LiquidityBasedTWAP.sol:303 (LiquidityBasedTWAP.('_addVaderPair', ['IUniswapV2Pair', 'IAggregatorV3', 'uint256'], [])) • read lbt/LiquidityBasedTWAP.sol:201 (LiquidityBasedTWAP.('_calculateVaderPrice', ['uint256[]', 'uint256'], ['uint256'])) | report=https://github.com/code-423n4/2021-12-vader-findings/issues/160 https://github.com/code-423n4/2021-12-vader-findings/issues/160 | comments=[M-02] oracle replacement risk; interacts with [H-11], [H-03], [H-05], [H-10]",SV-SI,NA,not_applicable,NA-not-MVSI,NA-not-MVSI,,Y,"a: previousPrices feeds the liquidity-assessment calculation—an economic decision boundary; b: attacker exploits lagged prices to manipulate liquidity share, gaining unauthorized economic benefit; c: attacker can call syncVaderPrice and then exploit the stale previousPrices in the same block."
known-bug::TOSEM-RC-DYNAMIC-DEPENDENT-UPDATE-OMISSION-010,TOSEM-overlap,TOSEM-RC-DYNAMIC-DEPENDENT-UPDATE-OMISSION-010,TOSEM,Dynamic Dependent Update Omission,,2022-05-24,https://code4rena.com/reports/2022-02-concur#h-01-wrong-reward-token-calculation-in-masterchef-contract,2022-02-concur#h-01,2022-02-concur,H-01,concur,,The reward distribution for old pools is not updated when adding new token pools.,Users are unable to accurately calculate the rewards they deserve.,Call massUpdate() to refresh rewards for all existing pools before adding a new one.,TOSEM Dynamic Dependent Update Omission row; Web3Bugs/Code4rena report 83 H-01; local code dataset/Web3Bugs/contracts/83/contracts/MasterChef.sol:86-154.,"sheet=83 | row=9 | abl=B0 | type=TP | finding=[single_var_cross_tx] poolInfo tx-set -> massUpdatePools(), updatePool(uint256) • write contracts/MasterChef.sol:153 (MasterChef.('updatePool', ['uint256'], [])) • read contracts/MasterChef.sol:128 (MasterChef.('massUpdatePools', [], [])) | report= | comments=[H-01] missing updates when adding pools, and multiple updatePool reward-accounting issues","sheet=83 | row=9 | abl=B0 | type=TP | finding=[single_var_cross_tx] poolInfo tx-set -> massUpdatePools(), updatePool(uint256) • write contracts/MasterChef.sol:153 (MasterChef.('updatePool', ['uint256'], [])) • read contracts/MasterChef.sol:128 (MasterChef.('massUpdatePools', [], [])) | report= | comments=[H-01] missing updates when adding pools, and multiple updatePool reward-accounting issues

---

sheet=83 | row=44 | abl=B1 | type=TP | finding=[single_var_cross_tx] poolInfo tx-set -> massUpdatePools(), updatePool(uint256) • write contracts/MasterChef.sol:146 (MasterChef.('updatePool', ['uint256'], [])) • read contracts/MasterChef.sol:128 (MasterChef.('massUpdatePools', [], [])) | report= | comments=[H-01] missing updates when adding pools, and multiple updatePool reward-accounting issues

---

sheet=83 | row=81 | abl=B2 | type=TP | finding=[single_var_cross_tx] poolInfo tx-set -> massUpdatePools(), updatePool(uint256) • write contracts/MasterChef.sol:146 (MasterChef.('updatePool', ['uint256'], [])) • read contracts/MasterChef.sol:128 (MasterChef.('massUpdatePools', [], [])) | report= | comments=[H-01] missing updates when adding pools, and multiple updatePool reward-accounting issues

---

sheet=83 | row=113 | abl=B3 | type=TP | finding=[single_var_cross_tx] poolInfo tx-set -> massUpdatePools(), updatePool(uint256) • write contracts/MasterChef.sol:153 (MasterChef.('updatePool', ['uint256'], [])) • read contracts/MasterChef.sol:128 (MasterChef.('massUpdatePools', [], [])) | report= | comments=[H-01] missing updates when adding pools, and multiple updatePool reward-accounting issues

---

sheet=83 | row=159 | abl=B6 | type=TP | finding=[multi_var_cross_contract] poolInfo, pid tx-set -> updatePool(uint256) • write contracts/MasterChef.sol:142 (MasterChef.('updatePool', ['uint256'], [])) • write contracts/MasterChef.sol:100 (MasterChef.('add', ['address', 'uint256', 'uint16', 'uint256'], [])) • read contracts/MasterChef.sol:136 (MasterChef.('updatePool', ['uint256'], [])) • read contracts/MasterChef.sol:90 (MasterChef.('add', ['address', 'uint256', 'uint16', 'uint256'], [])) | report= | comments=[H-01] missing updates when adding pools, and multiple updatePool reward-accounting issues

---

sheet=83 | row=161 | abl=B6 | type=TP | finding=[single_var_cross_tx] poolInfo tx-set -> massUpdatePools(), updatePool(uint256) • write contracts/MasterChef.sol:142 (MasterChef.('updatePool', ['uint256'], [])) • read contracts/MasterChef.sol:128 (MasterChef.('massUpdatePools', [], [])) | report= | comments=[H-01] missing updates when adding pools, and multiple updatePool reward-accounting issues",,,,,,,Y,a: Reward distribution denominator (totalAllocPoint) is an economic decision boundary; b: stale reward state for old pools corrupts per-pool reward calculation; c: admin adding a new pool triggers the stale-checkpoint inconsistency for all existing pools.
known-bug::TOSEM-RC-DYNAMIC-DEPENDENT-UPDATE-OMISSION-011,TOSEM-overlap,TOSEM-RC-DYNAMIC-DEPENDENT-UPDATE-OMISSION-011,TOSEM,Dynamic Dependent Update Omission,,2022-06-02,https://code4rena.com/reports/2022-04-backd#h-02-function-lockfunds-in-topupactionlibrary-can-cause-serious-fund-lose-fee-and-capped-bypass-its-not-calling-stakervaultincreaseactionlockedbalance-when-transfers-stakes,2022-04-backd#h-02,2022-04-backd,H-02,backd,,The actionLockedBalances[payer] is not updated for the payer when transferring stakes.,stakedAndActionLockedBalanceOf() calculates wrong balance,Call stakerVault.increaseActionLockedBalance to update after transferring funds.,TOSEM Dynamic Dependent Update Omission row; Web3Bugs/Code4rena report 112 H-02; local code dataset/Web3Bugs/contracts/112/backd/contracts/actions/topup/TopUpAction.sol:36-67 and dataset/Web3Bugs/contracts/112/backd/contracts/StakerVault.sol:133-210.,,"sheet=112backd | row=199 | abl=B3 | type=TP | finding=[multi_var_cross_contract] {actionLockedBalances, balances} tx-set -> increaseActionLockedBalance(address,uint256), transferFrom(address,address,uint256) • write contracts/StakerVault.sol:169 (StakerVault.('transferFrom', ['address', 'address', 'uint256'], ['bool'])) • read contracts/StakerVault.sol:209 (StakerVault.('increaseActionLockedBalance', ['address', 'uint256'], ['bool'])) | report= | comments=[H-02] Direct match from our original build motivation -- this is a confirmed multi-var invariant matching ground truth from during our initial build of MV-SCAN",,,,,,,Y,a: stakedAndActionLockedBalanceOf is used to enforce stake caps and fee bounds—an accounting decision boundary; b: stale actionLockedBalances allows bypassing action-locked caps or fee calculations; c: any fund transfer that skips the balance update exploits the inconsistency.
known-bug::TOSEM-RC-DYNAMIC-DEPENDENT-UPDATE-OMISSION-012,TOSEM-overlap,TOSEM-RC-DYNAMIC-DEPENDENT-UPDATE-OMISSION-012,TOSEM,Dynamic Dependent Update Omission,,2023-02-17,https://code4rena.com/reports/2022-12-tigris#h-01-locksol-assets-deposited-with-lockextendlock-function-are-lost,2022-12-tigris#h-01,2022-12-tigris,H-01,tigris,,The Lock.extendLock function increases the locked amount but does not update the total locked amount.,An accounting error resulted in the inability to release locked assets added through the extendLock() function in the future.,Update totalLocked[_asset] in Lock.extendLock.,"TOSEM Dynamic Dependent Update Omission row; Web3Bugs/Code4rena report 192 H-01; local code dataset/Web3Bugs/contracts/192/contracts/Lock.sol:19-24,61-105.",,,,,,,,,Y,"a: totalLocked governs future asset-release eligibility—an economic decision boundary; b: assets added via extendLock can never be released, breaking liveness; c: any caller of extendLock triggers this permanent-lock condition."
known-bug::TOSEM-RC-DYNAMIC-DEPENDENT-UPDATE-OMISSION-042,TOSEM-overlap,TOSEM-RC-DYNAMIC-DEPENDENT-UPDATE-OMISSION-042,TOSEM,Dynamic Dependent Update Omission,subtype (state synchronization in permission management),2021-08-30,https://code4rena.com/reports/2021-05-visorfinance#h-02-nft-transfer-approvals-are-not-removed-and-cannot-be-revoked-thus-leading-to-loss-of-nft-tokens,2021-05-visorfinance#h-02,2021-05-visorfinance,H-02,visorfinance,,The granted NFT transaction authorization is not revoked.,"The authorization has not been revoked, and the authorized person can transfer NFTs repeatedly.",Modify the status variables that control the granting or revocation of permissions.,TOSEM permission-management subtype row; Web3Bugs/Code4rena report 10 H-02; local code dataset/Web3Bugs/contracts/10/contracts/contracts/visor/Visor.sol:481-516.,,,SV-SI,NA,not_applicable,NA-not-MVSI,NA-not-MVSI,,Y,a: NFT transfer authorization is a security decision boundary; b: un-revoked approval grants the authorized person repeated unauthorized NFT transfers; c: any holder of a stale approval can exploit it immediately.
known-bug::TOSEM-RC-DYNAMIC-DEPENDENT-UPDATE-OMISSION-043,TOSEM-overlap,TOSEM-RC-DYNAMIC-DEPENDENT-UPDATE-OMISSION-043,TOSEM,Dynamic Dependent Update Omission,subtype (state synchronization in permission management),2021-08-30,https://code4rena.com/reports/2021-05-visorfinance#h-03-approval-for-nft-transfers-is-not-removed-after-transfer,2021-05-visorfinance#h-03,2021-05-visorfinance,H-03,visorfinance,,Failure to clear the approval authorization for NFT resulted in authorized agents being able to transfer the NFT multiple times.,The NFT authorization is not reset.,Reset the approval on transfer.,TOSEM permission-management subtype row; Web3Bugs/Code4rena report 10 H-03; local code dataset/Web3Bugs/contracts/10/contracts/contracts/visor/Visor.sol:481-516.,,,SV-SI,NA,not_applicable,NA-not-MVSI,NA-not-MVSI,,Y,a: NFT transfer authorization is a security decision boundary; b: stale approval after transfer grants unauthorized repeated transfers to the prior approved agent; c: the authorized agent can call transferFrom again without new authorization.
