oracle_id,finding_slug,repo_slug,finding_id_norm,source_category,web3bugs_status,web3bugs_ids,web3bugs_dirs,web3bugs_basis,mvbench_status,mvbench_candidate_sheets,finding_match_count,b0_match_count,matched_ablations,matched_types,source_root_cause,source_exploitation_method
TOSEM-RC-DYNAMIC-DEPENDENT-UPDATE-OMISSION-001,2021-07-wildcredit#h-02,2021-07-wildcredit,H-02,Dynamic Dependent Update Omission,web3bugs_id_found,18,18,reports_slug,finding_match,18,6,1,"{""B0"": 1, ""B1"": 1, ""B2"": 1, ""B3"": 1, ""B4"": 1, ""B6"": 1}","{""TP"": 6}",The accumulated interest rate is not updated during account liquidation.,"Interest calculation error, the borrower bypassed interest payment through self liquidation."
TOSEM-RC-DYNAMIC-DEPENDENT-UPDATE-OMISSION-002,2021-07-pooltogether#h-03,2021-07-pooltogether,H-03,Dynamic Dependent Update Omission,web3bugs_id_found,24,24,reports_slug,repo_sheet_no_finding,24swappable-yield-source;24pooltogether-mstable,0,0,{},{},Token balances are not promptly updated when the contract switches revenue sources.,"The calculation of balance and shares is incorrect, resulting in users receiving undeserved shares."
TOSEM-RC-DYNAMIC-DEPENDENT-UPDATE-OMISSION-003,2021-09-sushitrident-2#h-03,2021-09-sushitrident-2,H-03,Dynamic Dependent Update Omission,web3bugs_id_found,35,35,reports_slug,web3bugs_id_no_mvbench_sheet,,0,0,{},{},The reclaimIncentive function does not decrement the incentive.rewardsUnclaimed field.,The attacker repeatedly called the recaaimIncentive function to steal all tokens in the incentive pool.
TOSEM-RC-DYNAMIC-DEPENDENT-UPDATE-OMISSION-004,2021-09-defiprotocol#h-02,2021-09-defiprotocol,H-02,Dynamic Dependent Update Omission,web3bugs_id_found,36,36,reports_slug,finding_match,36contracts,2,0,"{""B1"": 1, ""B3"": 1}","{""TP"": 2}",The auctionBurn function does not update ibRatio when burning auction bonds.,"The calculation of total supply was incorrect, resulting in some assets being frozen."
TOSEM-RC-DYNAMIC-DEPENDENT-UPDATE-OMISSION-005,2021-10-mochi#h-06,2021-10-mochi,H-06,Dynamic Dependent Update Omission,web3bugs_id_found,42,42,reports_slug,web3bugs_id_no_mvbench_sheet,,0,0,{},{},The claimRewardAsMochi function does not reduce the user's reward balance.,The referrer can repeatedly claim the same reward until the fee pool is exhausted.
TOSEM-RC-DYNAMIC-DEPENDENT-UPDATE-OMISSION-006,2021-11-bootfinance#h-03,2021-11-bootfinance,H-03,Dynamic Dependent Update Omission,web3bugs_id_found,51,51,reports_slug,web3bugs_id_no_mvbench_sheet,,0,0,{},{},The tokenPrecisionMultipliers used in price calculations is not computed in real-time.,The attacker use old tokenPrecision Multipliers for transactions before the target price takes effect.
TOSEM-RC-DYNAMIC-DEPENDENT-UPDATE-OMISSION-007,2021-12-mellow#h-04,2021-12-mellow,H-04,Dynamic Dependent Update Omission,web3bugs_id_found,58,58,reports_slug,repo_sheet_no_finding,58mellow-vaults,0,0,{},{},The total value locked (TVL) is not promptly updated when users deposit or withdraw.,Wrong token share calculated using outdated TVL.
TOSEM-RC-DYNAMIC-DEPENDENT-UPDATE-OMISSION-008,2021-12-amun#h-01,2021-12-amun,H-01,Dynamic Dependent Update Omission,web3bugs_id_found,68,68,reports_slug,web3bugs_id_no_mvbench_sheet,,0,0,{},{},The remaining tokens are not refunded.,Incorrect calculation and refund of remaining underlying tokens.
TOSEM-RC-DYNAMIC-DEPENDENT-UPDATE-OMISSION-009,2021-12-vader#h-10,2021-12-vader,H-10,Dynamic Dependent Update Omission,web3bugs_id_found,70,70,reports_slug,finding_match,70,6,1,"{""B0"": 1, ""B1"": 1, ""B2"": 1, ""B3"": 1, ""B4"": 1, ""B6"": 1}","{""TP"": 6}",The syncVaderPrice function does not update previousPrices after synchronizing prices.,The attacker uses the lagged previousPrices to calculate the liquidity assessment and manipulate the liquidity share.
TOSEM-RC-DYNAMIC-DEPENDENT-UPDATE-OMISSION-010,2022-02-concur#h-01,2022-02-concur,H-01,Dynamic Dependent Update Omission,web3bugs_id_found,83,83,reports_slug,finding_match,83,6,1,"{""B0"": 1, ""B1"": 1, ""B2"": 1, ""B3"": 1, ""B6"": 2}","{""TP"": 6}",The reward distribution for old pools is not updated when adding new token pools.,Users are unable to accurately calculate the rewards they deserve.
