oracle_id,finding_slug,repo_slug,finding_id_norm,source_category,web3bugs_ids,web3bugs_basis,mvbench_status,mvbench_candidate_sheets,finding_match_count,b0_match_count,matched_ablations,matched_types,source_root_cause,source_exploitation_method,mvbench_b0_rows,mvbench_all_matched_rows,semantic_label,mvsi_subtype,violated_invariant,evidence_source,coupled_state_entities,primary_state_entity,counterpart_state_entity,external_proxy_state,desynchronization_step,sink_type,impact_type,attacker_model,strict_b0_match,matched_b0_bucket_id,fn_reason,strict_match_notes
TOSEM-RC-DYNAMIC-DEPENDENT-UPDATE-OMISSION-001,2021-07-wildcredit#h-02,2021-07-wildcredit,H-02,Dynamic Dependent Update Omission,18,reports_slug,finding_match,18,6,1,"{""B0"": 1, ""B1"": 1, ""B2"": 1, ""B3"": 1, ""B4"": 1, ""B6"": 1}","{""TP"": 6}",The accumulated interest rate is not updated during account liquidation.,"Interest calculation error, the borrower bypassed interest payment through self liquidation.","sheet=18 | row=2 | abl=B0 | type=TP | finding=[single_var_cross_tx] lastBlockAccrued tx-set -> accrue() • write contracts/LendingPair.sol:183 (LendingPair.('accrue', [], [])) • read contracts/LendingPair.sol:180 (LendingPair.('accrue', [], [])) | report=https://github.com/code-423n4/2021-07-wildcredit-findings/issues/116 https://github.com/code-423n4/2021-07-wildcredit-findings/issues/122 https://github.com/code-423n4/2021-07-wildcredit-findings/issues/115 https://github.com/code-423n4/2021-07-wildcredit-findings/issues/124 | comments=Hinges on H-01/H-02/M-04/L-04 but doesn't introduce a specific surface using just this finding. Marking TP for the bugs that can be surfaced from this finding","sheet=18 | row=2 | abl=B0 | type=TP | finding=[single_var_cross_tx] lastBlockAccrued tx-set -> accrue() • write contracts/LendingPair.sol:183 (LendingPair.('accrue', [], [])) • read contracts/LendingPair.sol:180 (LendingPair.('accrue', [], [])) | report=https://github.com/code-423n4/2021-07-wildcredit-findings/issues/116 https://github.com/code-423n4/2021-07-wildcredit-findings/issues/122 https://github.com/code-423n4/2021-07-wildcredit-findings/issues/115 https://github.com/code-423n4/2021-07-wildcredit-findings/issues/124 | comments=Hinges on H-01/H-02/M-04/L-04 but doesn't introduce a specific surface using just this finding. Marking TP for the bugs that can be surfaced from this finding

---

sheet=18 | row=4 | abl=B1 | type=TP | finding=[single_var_cross_tx] lastBlockAccrued tx-set -> accrue() • write contracts/LendingPair.sol:183 (LendingPair.('accrue', [], [])) • read contracts/LendingPair.sol:180 (LendingPair.('accrue', [], [])) | report=https://github.com/code-423n4/2021-07-wildcredit-findings/issues/116 https://github.com/code-423n4/2021-07-wildcredit-findings/issues/122 https://github.com/code-423n4/2021-07-wildcredit-findings/issues/115 https://github.com/code-423n4/2021-07-wildcredit-findings/issues/124 | comments=Hinges on H-01/H-02/M-04/L-04 but doesn't introduce a specific surface using just this finding. Marking TP for the bugs that can be surfaced from this finding

---

sheet=18 | row=6 | abl=B2 | type=TP | finding=[single_var_cross_tx] lastBlockAccrued tx-set -> accrue() • write contracts/LendingPair.sol:183 (LendingPair.('accrue', [], [])) • read contracts/LendingPair.sol:180 (LendingPair.('accrue', [], [])) | report=https://github.com/code-423n4/2021-07-wildcredit-findings/issues/116 https://github.com/code-423n4/2021-07-wildcredit-findings/issues/122 https://github.com/code-423n4/2021-07-wildcredit-findings/issues/115 https://github.com/code-423n4/2021-07-wildcredit-findings/issues/124 | comments=Hinges on H-01/H-02/M-04/L-04 but doesn't introduce a specific surface using just this finding. Marking TP for the bugs that can be surfaced from this finding

---

sheet=18 | row=8 | abl=B3 | type=TP | finding=[single_var_cross_tx] lastBlockAccrued tx-set -> accrue() • write contracts/LendingPair.sol:183 (LendingPair.('accrue', [], [])) • read contracts/LendingPair.sol:180 (LendingPair.('accrue', [], [])) | report=https://github.com/code-423n4/2021-07-wildcredit-findings/issues/116 https://github.com/code-423n4/2021-07-wildcredit-findings/issues/122 https://github.com/code-423n4/2021-07-wildcredit-findings/issues/115 https://github.com/code-423n4/2021-07-wildcredit-findings/issues/124 | comments=Hinges on H-01/H-02/M-04/L-04 but doesn't introduce a specific surface using just this finding. Marking TP for the bugs that can be surfaced from this finding

---

sheet=18 | row=10 | abl=B4 | type=TP | finding=[single_var_cross_tx] lastBlockAccrued tx-set -> accrue() • write contracts/LendingPair.sol:183 (LendingPair.('accrue', [], [])) • read contracts/LendingPair.sol:180 (LendingPair.('accrue', [], [])) | report=https://github.com/code-423n4/2021-07-wildcredit-findings/issues/116 https://github.com/code-423n4/2021-07-wildcredit-findings/issues/122 https://github.com/code-423n4/2021-07-wildcredit-findings/issues/115 https://github.com/code-423n4/2021-07-wildcredit-findings/issues/124 | comments=Hinges on H-01/H-02/M-04/L-04 but doesn't introduce a specific surface using just this finding. Marking TP for the bugs that can be surfaced from this finding

---

sheet=18 | row=11 | abl=B6 | type=TP | finding=[single_var_cross_tx] lastBlockAccrued tx-set -> accrue() • write contracts/LendingPair.sol:183 (LendingPair.('accrue', [], [])) • read contracts/LendingPair.sol:180 (LendingPair.('accrue', [], [])) | report=https://github.com/code-423n4/2021-07-wildcredit-findings/issues/116 https://github.com/code-423n4/2021-07-wildcredit-findings/issues/122 https://github.com/code-423n4/2021-07-wildcredit-findings/issues/115 https://github.com/code-423n4/2021-07-wildcredit-findings/issues/124 | comments=Hinges on H-01/H-02/M-04/L-04 but doesn't introduce a specific surface using just this finding. Marking TP for the bugs that can be surfaced from this finding",MV-SI,Type-I-temporal-checkpoint,"Before liquidation/account-health accounting, cumulativeInterestRate[token] must reflect elapsed blocks since lastBlockAccrued, and borrower debt/account snapshots must be accrued against that current market index.","TOSEM Dynamic Dependent Update Omission row; Web3Bugs/Code4rena report 18 H-02; local code dataset/Web3Bugs/contracts/18/contracts/LendingPair.sol:179-190,246-289,386-394,456-460.","lastBlockAccrued, cumulativeInterestRate[token], accountInterestSnapshot[token][account], debtOf[token][account]",elapsed block clock and cumulativeInterestRate[token],accountInterestSnapshot[token][borrower] and debtOf[token][borrower],block.number,"liquidateAccount() calls _accrueAccountInterest() and accountHealth() without first calling accrue(), so the global interest index is not advanced for elapsed blocks.",liquidation,underpayment,unprivileged,no,NA-no-strict-B0-match,FN7-bucket-adjacent-not-strict,"B0 row 18:2 reports lastBlockAccrued/accrue() and includes H-02 as adjacent evidence, but the oracle bug is the liquidateAccount() omission and liquidation/accounting sink."
TOSEM-RC-DYNAMIC-DEPENDENT-UPDATE-OMISSION-002,2021-07-pooltogether#h-03,2021-07-pooltogether,H-03,Dynamic Dependent Update Omission,24,reports_slug,repo_sheet_no_finding,24swappable-yield-source;24pooltogether-mstable,0,0,{},{},Token balances are not promptly updated when the contract switches revenue sources.,"The calculation of balance and shares is incorrect, resulting in users receiving undeserved shares.",,,MV-SI,Type-II-asset-utility,"The active yieldSource pointer, the yield source balance for this contract, and swappable-share supply must describe the same underlying asset pool before shares are minted or balances are quoted.","TOSEM Dynamic Dependent Update Omission row; Web3Bugs/Code4rena report 24 H-03; local code dataset/Web3Bugs/contracts/24/in_scope/SwappableYieldSource.sol:148-176,208-226,254-310.","yieldSource, old yieldSource.balanceOfToken(address(this)), new yieldSource.balanceOfToken(address(this)), ERC20 totalSupply(), user share balances",underlying assets held in the old/current yield source,yieldSource pointer and swappable share accounting,IYieldSource.balanceOfToken(address(this)),setYieldSource() switches yieldSource before transferFunds() moves old underlying balances; supplyTokenTo() then mints shares using only the new yield source balance.,mint,overmint,unprivileged,no,NA-no-strict-B0-match,FN0-no-same-finding-tag-row,Evaluated repo sheets exist but no same finding tag appears in MV-Bench.
TOSEM-RC-DYNAMIC-DEPENDENT-UPDATE-OMISSION-004,2021-09-defiprotocol#h-02,2021-09-defiprotocol,H-02,Dynamic Dependent Update Omission,36,reports_slug,finding_match,36contracts,2,0,"{""B1"": 1, ""B3"": 1}","{""TP"": 2}",The auctionBurn function does not update ibRatio when burning auction bonds.,"The calculation of total supply was incorrect, resulting in some assets being frozen.",,"sheet=36contracts | row=44 | abl=B1 | type=TP | finding=[single_var_cross_tx] ibRatio tx-set -> bondForRebalance(), updateIBRatio(uint256) • write contracts/Basket.sol:217 (Basket.('updateIBRatio', ['uint256'], ['uint256'])) • read contracts/Basket.sol:239 (Basket.('pullUnderlying', ['uint256', 'address'], [])) | report=https://github.com/code-423n4/2021-09-defiprotocol-findings/issues/223 https://github.com/code-423n4/2021-09-defiprotocol-findings/issues/223 | comments=[H-01], [H-02]

---

sheet=36contracts | row=91 | abl=B3 | type=TP | finding=[single_var_cross_tx] ibRatio tx-set -> updateIBRatio(uint256) • write contracts/Basket.sol:217 (Basket.('updateIBRatio', ['uint256'], ['uint256'])) • read contracts/Basket.sol:219 (Basket.('updateIBRatio', ['uint256'], ['uint256'])) | report=https://github.com/code-423n4/2021-09-defiprotocol-findings/issues/134 https://github.com/code-423n4/2021-09-defiprotocol-findings/issues/134 | comments=[H-02]",MV-SI,Type-II-asset-utility,Basket token totalSupply and ibRatio jointly define each remaining BASKET token claim on the underlying token set; burning supply must increase ibRatio so aggregate claims still match held underlyings.,"TOSEM Dynamic Dependent Update Omission row; Web3Bugs/Code4rena report 36 H-02; local code dataset/Web3Bugs/contracts/36/contracts/contracts/Basket.sol:89-125,216-240.","Basket.totalSupply(), ibRatio, underlying token balances, token weights",Basket.totalSupply() after auctionBurn(),ibRatio,NA,auctionBurn() burns auction bond supply after a failed auction but does not recompute ibRatio for the reduced supply.,accounting,loss,unprivileged,no,NA-no-strict-B0-match,FN1-same-finding-tag-not-in-B0,"Same finding tag appears only in non-B0 ablations; economic sink is stale ibRatio redemption/accounting, so it is not a B0 strict recall match."
TOSEM-RC-DYNAMIC-DEPENDENT-UPDATE-OMISSION-007,2021-12-mellow#h-04,2021-12-mellow,H-04,Dynamic Dependent Update Omission,58,reports_slug,repo_sheet_no_finding,58mellow-vaults,0,0,{},{},The total value locked (TVL) is not promptly updated when users deposit or withdraw.,Wrong token share calculated using outdated TVL.,,,MV-SI,Type-II-asset-utility,Vault share mint/burn calculations must use a TVL cache synchronized with the actual rebasing aToken balances before deposit or withdrawal changes share supply.,TOSEM Dynamic Dependent Update Omission row; Web3Bugs/Code4rena report 58 H-04; local code dataset/Web3Bugs/contracts/58/mellow-vaults/contracts/AaveVault.sol:25-94 and dataset/Web3Bugs/contracts/58/mellow-vaults/contracts/LpIssuer.sol:84-128.,"AaveVault._tvls cached TVL, aToken.balanceOf(vault), LP token totalSupply/user balances",actual rebasing aToken balance,cached AaveVault._tvls used for share pricing,Aave aToken balanceOf(vault),"deposit/withdraw computes mint or burn share amounts from old cached TVL, then transferAndPush/TVL update observes rebased interest.",mint,loss,unprivileged,no,NA-no-strict-B0-match,FN0-no-same-finding-tag-row,Evaluated repo sheet exists but no same finding tag appears in MV-Bench.
TOSEM-RC-DYNAMIC-DEPENDENT-UPDATE-OMISSION-009,2021-12-vader#h-10,2021-12-vader,H-10,Dynamic Dependent Update Omission,70,reports_slug,finding_match,70,6,1,"{""B0"": 1, ""B1"": 1, ""B2"": 1, ""B3"": 1, ""B4"": 1, ""B6"": 1}","{""TP"": 6}",The syncVaderPrice function does not update previousPrices after synchronizing prices.,The attacker uses the lagged previousPrices to calculate the liquidity assessment and manipulate the liquidity share.,"sheet=70 | row=2 | abl=B0 | type=TP | finding=[multi_var_cross_contract] twapData, maxUpdateWindow tx-set -> getChainlinkPrice(address) • write lbt/LiquidityBasedTWAP.sol:484 (LiquidityBasedTWAP.('_addUSDVPair', ['IERC20', 'IAggregatorV3', 'uint256'], [])) • write lbt/LiquidityBasedTWAP.sol:490 (LiquidityBasedTWAP.('_addUSDVPair', ['IERC20', 'IAggregatorV3', 'uint256'], [])) • read lbt/LiquidityBasedTWAP.sol:201 (LiquidityBasedTWAP.('_calculateVaderPrice', ['uint256[]', 'uint256'], ['uint256'])) • read lbt/LiquidityBasedTWAP.sol:395 (LiquidityBasedTWAP.('_calculateUSDVPrice', ['uint256[]', 'uint256'], ['uint256'])) | report=https://github.com/code-423n4/2021-12-vader-findings/issues/160 https://github.com/code-423n4/2021-12-vader-findings/issues/160 | comments=[M-02] oracle replacement risk; interacts with [H-11], [H-03], [H-05], [H-10]","sheet=70 | row=2 | abl=B0 | type=TP | finding=[multi_var_cross_contract] twapData, maxUpdateWindow tx-set -> getChainlinkPrice(address) • write lbt/LiquidityBasedTWAP.sol:484 (LiquidityBasedTWAP.('_addUSDVPair', ['IERC20', 'IAggregatorV3', 'uint256'], [])) • write lbt/LiquidityBasedTWAP.sol:490 (LiquidityBasedTWAP.('_addUSDVPair', ['IERC20', 'IAggregatorV3', 'uint256'], [])) • read lbt/LiquidityBasedTWAP.sol:201 (LiquidityBasedTWAP.('_calculateVaderPrice', ['uint256[]', 'uint256'], ['uint256'])) • read lbt/LiquidityBasedTWAP.sol:395 (LiquidityBasedTWAP.('_calculateUSDVPrice', ['uint256[]', 'uint256'], ['uint256'])) | report=https://github.com/code-423n4/2021-12-vader-findings/issues/160 https://github.com/code-423n4/2021-12-vader-findings/issues/160 | comments=[M-02] oracle replacement risk; interacts with [H-11], [H-03], [H-05], [H-10]

---

sheet=70 | row=42 | abl=B1 | type=TP | finding=[multi_var_cross_contract] twapData, maxUpdateWindow tx-set -> getChainlinkPrice(address) • write lbt/LiquidityBasedTWAP.sol:490 (LiquidityBasedTWAP.('_addUSDVPair', ['IERC20', 'IAggregatorV3', 'uint256'], [])) • write lbt/LiquidityBasedTWAP.sol:297 (LiquidityBasedTWAP.('_addVaderPair', ['IUniswapV2Pair', 'IAggregatorV3', 'uint256'], [])) • read lbt/LiquidityBasedTWAP.sol:303 (LiquidityBasedTWAP.('_addVaderPair', ['IUniswapV2Pair', 'IAggregatorV3', 'uint256'], [])) • read lbt/LiquidityBasedTWAP.sol:395 (LiquidityBasedTWAP.('_calculateUSDVPrice', ['uint256[]', 'uint256'], ['uint256'])) | report=https://github.com/code-423n4/2021-12-vader-findings/issues/160 https://github.com/code-423n4/2021-12-vader-findings/issues/160 | comments=[M-02] oracle replacement risk; interacts with [H-11], [H-03], [H-05], [H-10]

---

sheet=70 | row=89 | abl=B2 | type=TP | finding=[multi_var_cross_contract] twapData, maxUpdateWindow tx-set -> getChainlinkPrice(address) • write lbt/LiquidityBasedTWAP.sol:490 (LiquidityBasedTWAP.('_addUSDVPair', ['IERC20', 'IAggregatorV3', 'uint256'], [])) • write lbt/LiquidityBasedTWAP.sol:297 (LiquidityBasedTWAP.('_addVaderPair', ['IUniswapV2Pair', 'IAggregatorV3', 'uint256'], [])) • read lbt/LiquidityBasedTWAP.sol:303 (LiquidityBasedTWAP.('_addVaderPair', ['IUniswapV2Pair', 'IAggregatorV3', 'uint256'], [])) • read lbt/LiquidityBasedTWAP.sol:490 (LiquidityBasedTWAP.('_addUSDVPair', ['IERC20', 'IAggregatorV3', 'uint256'], [])) | report=https://github.com/code-423n4/2021-12-vader-findings/issues/160 https://github.com/code-423n4/2021-12-vader-findings/issues/160 | comments=[M-02] oracle replacement risk; interacts with [H-11], [H-03], [H-05], [H-10]

---

sheet=70 | row=124 | abl=B3 | type=TP | finding=[multi_var_cross_contract] twapData, maxUpdateWindow tx-set -> getChainlinkPrice(address) • write lbt/LiquidityBasedTWAP.sol:303 (LiquidityBasedTWAP.('_addVaderPair', ['IUniswapV2Pair', 'IAggregatorV3', 'uint256'], [])) • write lbt/LiquidityBasedTWAP.sol:297 (LiquidityBasedTWAP.('_addVaderPair', ['IUniswapV2Pair', 'IAggregatorV3', 'uint256'], [])) • read lbt/LiquidityBasedTWAP.sol:395 (LiquidityBasedTWAP.('_calculateUSDVPrice', ['uint256[]', 'uint256'], ['uint256'])) • read lbt/LiquidityBasedTWAP.sol:201 (LiquidityBasedTWAP.('_calculateVaderPrice', ['uint256[]', 'uint256'], ['uint256'])) | report=https://github.com/code-423n4/2021-12-vader-findings/issues/160 https://github.com/code-423n4/2021-12-vader-findings/issues/160 | comments=[M-02] oracle replacement risk; interacts with [H-11], [H-03], [H-05], [H-10]

---

sheet=70 | row=171 | abl=B4 | type=TP | finding=[single_var_cross_tx] maxUpdateWindow tx-set -> getChainlinkPrice(address) • write lbt/LiquidityBasedTWAP.sol:490 (LiquidityBasedTWAP.('_addUSDVPair', ['IERC20', 'IAggregatorV3', 'uint256'], [])) • write lbt/LiquidityBasedTWAP.sol:303 (LiquidityBasedTWAP.('_addVaderPair', ['IUniswapV2Pair', 'IAggregatorV3', 'uint256'], [])) • read lbt/LiquidityBasedTWAP.sol:490 (LiquidityBasedTWAP.('_addUSDVPair', ['IERC20', 'IAggregatorV3', 'uint256'], [])) • read lbt/LiquidityBasedTWAP.sol:303 (LiquidityBasedTWAP.('_addVaderPair', ['IUniswapV2Pair', 'IAggregatorV3', 'uint256'], [])) | report=https://github.com/code-423n4/2021-12-vader-findings/issues/160 https://github.com/code-423n4/2021-12-vader-findings/issues/160 | comments=[M-02] oracle replacement risk; interacts with [H-11], [H-03], [H-05], [H-10]

---

sheet=70 | row=193 | abl=B6 | type=TP | finding=[multi_var_cross_contract] twapData, maxUpdateWindow tx-set -> getChainlinkPrice(address) • write lbt/LiquidityBasedTWAP.sol:303 (LiquidityBasedTWAP.('_addVaderPair', ['IUniswapV2Pair', 'IAggregatorV3', 'uint256'], [])) • write lbt/LiquidityBasedTWAP.sol:297 (LiquidityBasedTWAP.('_addVaderPair', ['IUniswapV2Pair', 'IAggregatorV3', 'uint256'], [])) • read lbt/LiquidityBasedTWAP.sol:303 (LiquidityBasedTWAP.('_addVaderPair', ['IUniswapV2Pair', 'IAggregatorV3', 'uint256'], [])) • read lbt/LiquidityBasedTWAP.sol:201 (LiquidityBasedTWAP.('_calculateVaderPrice', ['uint256[]', 'uint256'], ['uint256'])) | report=https://github.com/code-423n4/2021-12-vader-findings/issues/160 https://github.com/code-423n4/2021-12-vader-findings/issues/160 | comments=[M-02] oracle replacement risk; interacts with [H-11], [H-03], [H-05], [H-10]",SV-SI,NA,previousPrices[path] should be advanced to the latest synced VADER/USDV price after sync so later liquidity evaluations do not use the initialization price.,"TOSEM Dynamic Dependent Update Omission row; Web3Bugs/Code4rena report 70 H-10; local code dataset/Web3Bugs/contracts/70/contracts/lbt/LiquidityBasedTWAP.sol:113-189,221-234,316-382,415-427.","previousPrices[Paths.VADER], previousPrices[Paths.USDV], current synced token price",current synced token price,previousPrices[path],Uniswap/Vader reserves and Chainlink oracle price,syncVaderPrice()/syncUSDVPrice() update TWAP/liquidity data but never assign the newly calculated price back into previousPrices[path].,accounting,accounting,unprivileged,no,NA-no-strict-B0-match,NA-not-MVSI,"Classified as single stale cached price, not strict MV-SI; the B0 row is an adjacent oracle-window bucket, not this H-10 stale previousPrices bug."
TOSEM-RC-DYNAMIC-DEPENDENT-UPDATE-OMISSION-010,2022-02-concur#h-01,2022-02-concur,H-01,Dynamic Dependent Update Omission,83,reports_slug,finding_match,83,6,1,"{""B0"": 1, ""B1"": 1, ""B2"": 1, ""B3"": 1, ""B6"": 2}","{""TP"": 6}",The reward distribution for old pools is not updated when adding new token pools.,Users are unable to accurately calculate the rewards they deserve.,"sheet=83 | row=9 | abl=B0 | type=TP | finding=[single_var_cross_tx] poolInfo tx-set -> massUpdatePools(), updatePool(uint256) • write contracts/MasterChef.sol:153 (MasterChef.('updatePool', ['uint256'], [])) • read contracts/MasterChef.sol:128 (MasterChef.('massUpdatePools', [], [])) | report= | comments=[H-01] missing updates when adding pools, and multiple updatePool reward-accounting issues","sheet=83 | row=9 | abl=B0 | type=TP | finding=[single_var_cross_tx] poolInfo tx-set -> massUpdatePools(), updatePool(uint256) • write contracts/MasterChef.sol:153 (MasterChef.('updatePool', ['uint256'], [])) • read contracts/MasterChef.sol:128 (MasterChef.('massUpdatePools', [], [])) | report= | comments=[H-01] missing updates when adding pools, and multiple updatePool reward-accounting issues

---

sheet=83 | row=44 | abl=B1 | type=TP | finding=[single_var_cross_tx] poolInfo tx-set -> massUpdatePools(), updatePool(uint256) • write contracts/MasterChef.sol:146 (MasterChef.('updatePool', ['uint256'], [])) • read contracts/MasterChef.sol:128 (MasterChef.('massUpdatePools', [], [])) | report= | comments=[H-01] missing updates when adding pools, and multiple updatePool reward-accounting issues

---

sheet=83 | row=81 | abl=B2 | type=TP | finding=[single_var_cross_tx] poolInfo tx-set -> massUpdatePools(), updatePool(uint256) • write contracts/MasterChef.sol:146 (MasterChef.('updatePool', ['uint256'], [])) • read contracts/MasterChef.sol:128 (MasterChef.('massUpdatePools', [], [])) | report= | comments=[H-01] missing updates when adding pools, and multiple updatePool reward-accounting issues

---

sheet=83 | row=113 | abl=B3 | type=TP | finding=[single_var_cross_tx] poolInfo tx-set -> massUpdatePools(), updatePool(uint256) • write contracts/MasterChef.sol:153 (MasterChef.('updatePool', ['uint256'], [])) • read contracts/MasterChef.sol:128 (MasterChef.('massUpdatePools', [], [])) | report= | comments=[H-01] missing updates when adding pools, and multiple updatePool reward-accounting issues

---

sheet=83 | row=159 | abl=B6 | type=TP | finding=[multi_var_cross_contract] poolInfo, pid tx-set -> updatePool(uint256) • write contracts/MasterChef.sol:142 (MasterChef.('updatePool', ['uint256'], [])) • write contracts/MasterChef.sol:100 (MasterChef.('add', ['address', 'uint256', 'uint16', 'uint256'], [])) • read contracts/MasterChef.sol:136 (MasterChef.('updatePool', ['uint256'], [])) • read contracts/MasterChef.sol:90 (MasterChef.('add', ['address', 'uint256', 'uint16', 'uint256'], [])) | report= | comments=[H-01] missing updates when adding pools, and multiple updatePool reward-accounting issues

---

sheet=83 | row=161 | abl=B6 | type=TP | finding=[single_var_cross_tx] poolInfo tx-set -> massUpdatePools(), updatePool(uint256) • write contracts/MasterChef.sol:142 (MasterChef.('updatePool', ['uint256'], [])) • read contracts/MasterChef.sol:128 (MasterChef.('massUpdatePools', [], [])) | report= | comments=[H-01] missing updates when adding pools, and multiple updatePool reward-accounting issues",MV-SI,Type-II-asset-utility,"Before totalAllocPoint changes, every existing pool must checkpoint accConcurPerShare and lastRewardBlock under the old allocation weights so past rewards are not repriced at the new slope.",TOSEM Dynamic Dependent Update Omission row; Web3Bugs/Code4rena report 83 H-01; local code dataset/Web3Bugs/contracts/83/contracts/MasterChef.sol:86-154.,"totalAllocPoint, poolInfo[pid].allocPoint, poolInfo[pid].accConcurPerShare, poolInfo[pid].lastRewardBlock, userInfo[pid][user].rewardDebt",global totalAllocPoint after adding a pool,existing poolInfo reward accumulators and lastRewardBlock checkpoints,block.number,add() increases totalAllocPoint and appends a pool without calling massUpdatePools() to checkpoint old pools first.,reward,underpayment,privileged,no,NA-no-strict-B0-match,FN7-bucket-adjacent-not-strict,"B0 row 83:9 references H-01 but tracks poolInfo updatePool/massUpdate behavior, not the add() totalAllocPoint change and old-pool reward checkpoint invariant."
TOSEM-RC-DYNAMIC-DEPENDENT-UPDATE-OMISSION-011,2022-04-backd#h-02,2022-04-backd,H-02,Dynamic Dependent Update Omission,112,reports_slug,finding_match,112backd,1,0,"{""B3"": 1}","{""TP"": 1}",The actionLockedBalances[payer] is not updated for the payer when transferring stakes.,stakedAndActionLockedBalanceOf() calculates wrong balance,,"sheet=112backd | row=199 | abl=B3 | type=TP | finding=[multi_var_cross_contract] {actionLockedBalances, balances} tx-set -> increaseActionLockedBalance(address,uint256), transferFrom(address,address,uint256) • write contracts/StakerVault.sol:169 (StakerVault.('transferFrom', ['address', 'address', 'uint256'], ['bool'])) • read contracts/StakerVault.sol:209 (StakerVault.('increaseActionLockedBalance', ['address', 'uint256'], ['bool'])) | report= | comments=[H-02] Direct match from our original build motivation -- this is a confirmed multi-var invariant matching ground truth from during our initial build of MV-SCAN",MV-SI,Type-II-asset-utility,"A payer’s stakedAndActionLockedBalanceOf must equal ordinary staked balance plus stakes transferred into active action locks, so deposit caps, fees, and reward checkpoints see locked stake.",TOSEM Dynamic Dependent Update Omission row; Web3Bugs/Code4rena report 112 H-02; local code dataset/Web3Bugs/contracts/112/backd/contracts/actions/topup/TopUpAction.sol:36-67 and dataset/Web3Bugs/contracts/112/backd/contracts/StakerVault.sol:133-210.,"StakerVault.balanceOf(payer), StakerVault.actionLockedBalances[payer], TopUp position depositTokenBalance, stakedAndActionLockedBalanceOf(payer)",stakes transferred from payer into TopUp action lock,StakerVault.actionLockedBalances[payer],NA,"TopUpActionLibrary.lockFunds() transfers stakes from payer but omits stakerVault.increaseActionLockedBalance(payer, amountLeft).",accounting,loss,unprivileged,no,NA-no-strict-B0-match,FN1-same-finding-tag-not-in-B0,Same finding tag appears only outside B0 in MV-Bench.
TOSEM-RC-DYNAMIC-DEPENDENT-UPDATE-OMISSION-012,2022-12-tigris#h-01,2022-12-tigris,H-01,Dynamic Dependent Update Omission,192,reports_slug,repo_sheet_no_finding,192,0,0,{},{},The Lock.extendLock function increases the locked amount but does not update the total locked amount.,An accounting error resulted in the inability to release locked assets added through the extendLock() function in the future.,,,MV-SI,Type-II-asset-utility,"For each asset, Lock.totalLocked[asset] must equal the sum of unreleased BondNFT lock amounts, including principal added through extendLock().","TOSEM Dynamic Dependent Update Omission row; Web3Bugs/Code4rena report 192 H-01; local code dataset/Web3Bugs/contracts/192/contracts/Lock.sol:19-24,61-105.","Lock.totalLocked[asset], BondNFT lock amount, ERC20 asset balance locked in Lock",BondNFT per-lock amount after extendLock(),Lock.totalLocked[asset],NA,extendLock() transfers/increases the bond amount through BondNFT.extendLock() but does not increment totalLocked[asset].,accounting,DoS,unprivileged,no,NA-no-strict-B0-match,FN0-no-same-finding-tag-row,Evaluated repo sheet exists but no same finding tag appears in MV-Bench.
TOSEM-RC-DYNAMIC-DEPENDENT-UPDATE-OMISSION-042,2021-05-visorfinance#h-02,2021-05-visorfinance,H-02,Dynamic Dependent Update Omission,10,reports_slug,repo_sheet_no_finding,10contracts,0,0,{},{},The granted NFT transaction authorization is not revoked.,"The authorization has not been revoked, and the authorized person can transfer NFTs repeatedly.",,,SV-SI,NA,A delegate approval for a vault-held ERC721 must be revocable and must not remain valid after the authorized transfer changes possession/ownership context.,TOSEM permission-management subtype row; Web3Bugs/Code4rena report 10 H-02; local code dataset/Web3Bugs/contracts/10/contracts/contracts/visor/Visor.sol:481-516.,"nftApprovals/delegate approval for tokenId, ERC721 owner/vault possession",ERC721 ownership or vault possession after transfer,stale nftApprovals entry,external ERC721 ownerOf/token custody,"approveTransferERC721() sets approval, but transferERC721() does not clear it and there is no revoke path.",access-control,loss,unprivileged,no,NA-no-strict-B0-match,NA-not-MVSI,Permission-management stale approval; excluded from MV-SI recall as SV-SI/access-control-like state inconsistency.
TOSEM-RC-DYNAMIC-DEPENDENT-UPDATE-OMISSION-043,2021-05-visorfinance#h-03,2021-05-visorfinance,H-03,Dynamic Dependent Update Omission,10,reports_slug,repo_sheet_no_finding,10contracts,0,0,{},{},Failure to clear the approval authorization for NFT resulted in authorized agents being able to transfer the NFT multiple times.,The NFT authorization is not reset.,,,SV-SI,NA,A single-token ERC721 transfer approval must be consumed/cleared when the approved transfer executes.,TOSEM permission-management subtype row; Web3Bugs/Code4rena report 10 H-03; local code dataset/Web3Bugs/contracts/10/contracts/contracts/visor/Visor.sol:481-516.,"nftApprovals/delegate approval for tokenId, ERC721 owner/vault possession",ERC721 ownership or vault possession after transfer,stale nftApprovals entry,external ERC721 ownerOf/token custody,transferERC721() transfers the NFT but leaves the token-specific approval set.,access-control,loss,unprivileged,no,NA-no-strict-B0-match,NA-not-MVSI,Single stale approval variable; not MV-SI recall.
