sample_id,sample_seed,stratum_kind,sheet,row_idx,finding_key,finding_header,evidence_excerpt,annotator_1_b0_label,annotator_1_semantic_label,annotator_1_notes
B0-A1-001,20260611,multi_var_cross_contract,192,17,"192::[multi_var_cross_contract] lastUpdate, fundingDeltaPerSec, longOi, {longOi, shortOi}, {longOi, shortOi}, {longOi, shortOi}, {longOi, shortOi}, shortOi, vaultFundingPercent  tx-set -> updateFunding(uint256,address,uint256,uint256,uint256,uint256)","[multi_var_cross_contract] lastUpdate, fundingDeltaPerSec, longOi, {longOi, shortOi}, {longOi, shortOi}, {longOi, shortOi}, {longOi, shortOi}, shortOi, vaultFundingPercent  tx-set -> updateFunding(uint256,address,uint256,uint256,uint256,uint256)","[multi_var_cross_contract] lastUpdate, fundingDeltaPerSec, longOi, {longOi, shortOi}, {longOi, shortOi}, {longOi, shortOi}, {longOi, shortOi}, shortOi, vaultFundingPercent tx-set -> updateFunding(uint256,address,uint256,uint256,uint256,uint256) • write contracts/Position.sol:122 (Position.('updateFunding', ['uint256', 'address', 'uint256', 'uint256', 'uint256', 'uint256'], [])) • write contracts/Position.sol:112 (Position.('updateFunding', ['uint256', 'address', 'uint256', 'uint256', 'uint256', 'uint256'], [])) • read contracts/Position.sol:102 (Position.('updateFunding', ['uint256', 'address', 'uint256', 'uint256', 'uint256', 'uint256'], [])) • read contracts/Position.sol:101 (Position.('updateFunding', ['uint256', 'address', 'uint256', 'uint256', 'uint256', 'uint256'], []))",FP,not-confirmed-alert,"C1=unclear; C2=fail; C3=unclear; C4=fail; C5=unclear | rationale=the updateFunding row shows internal funding variables read and written in one funding update path, but the excerpt does not establish an independent invariant violation or externally reachable security/economic sink."
B0-A1-002,20260611,multi_var_cross_contract,56,85,"56::[multi_var_cross_contract] tokensInBucket, depositedAlTokens, {depositedAlTokens, pointMultiplier}  tx-set -> forceTransmute(address), getMultipleUserInfo(uint256,uint256)","[multi_var_cross_contract] tokensInBucket, depositedAlTokens, {depositedAlTokens, pointMultiplier}  tx-set -> forceTransmute(address), getMultipleUserInfo(uint256,uint256)","[multi_var_cross_contract] tokensInBucket, depositedAlTokens, {depositedAlTokens, pointMultiplier} tx-set -> forceTransmute(address), getMultipleUserInfo(uint256,uint256) • write contracts/v3/alchemix/Transmuter.sol:298 (Transmuter.('forceTransmute', ['address'], [])) • write contracts/v3/alchemix/Transmuter.sol:307 (Transmuter.('forceTransmute', ['address'], [])) • read contracts/v3/alchemix/Transmuter.sol:438 (Transmuter.('getMultipleUserInfo', ['uint256', 'uint256'], ['address[]', 'uint256[]'])) • read contracts/v3/alchemix/Transmuter.sol:437 (Transmuter.('getMultipleUserInfo', ['uint256', 'uint256'], ['address[]', 'uint256[]']))",FP,not-confirmed-alert,"C1=unclear; C2=fail; C3=unclear; C4=fail; C5=unclear | rationale=forceTransmute and getMultipleUserInfo touch transmuter accounting/view state, but the sample gives no confirmed bug evidence and no stale counterpart reaching a sink."
B0-A1-003,20260611,multi_var_cross_contract,70,17,"70::[multi_var_cross_contract] rewards, {_balances, rewards, userRewardPerTokenPaid}  tx-set -> earned(address), getReward()","[multi_var_cross_contract] rewards, {_balances, rewards, userRewardPerTokenPaid}  tx-set -> earned(address), getReward()","[multi_var_cross_contract] rewards, {_balances, rewards, userRewardPerTokenPaid} tx-set -> earned(address), getReward() • write staking-rewards/StakingRewards.sol:121 (StakingRewards.('getReward', [], [])) • read staking-rewards/StakingRewards.sol:80 (StakingRewards.('earned', ['address'], ['uint256']))",FP,not-confirmed-alert,C1=unclear; C2=fail; C3=fail; C4=fail; C5=unclear | rationale=earned/getReward over rewards and userRewardPerTokenPaid is ordinary reward accounting; the excerpt does not show a missing synchronization step or exploit.
B0-A1-004,20260611,multi_var_cross_contract,72openleverage-contracts,15,"72openleverage-contracts::[multi_var_cross_contract] markets, {markets}  tx-set -> addMarket(LPoolInterface,LPoolInterface,uint16,bytes), liquidate(address,uint16,bool,uint256,uint256,bytes)","[multi_var_cross_contract] markets, {markets}  tx-set -> addMarket(LPoolInterface,LPoolInterface,uint16,bytes), liquidate(address,uint16,bool,uint256,uint256,bytes)","[multi_var_cross_contract] markets, {markets} tx-set -> addMarket(LPoolInterface,LPoolInterface,uint16,bytes), liquidate(address,uint16,bool,uint256,uint256,bytes) • write contracts/OpenLevV1.sol:438 (OpenLevV1.('feesAndInsurance', ['address', 'uint256', 'address', 'uint16', 'uint256', 'uint256'], ['uint256'])) • write contracts/OpenLevV1.sol:413 (OpenLevV1.('reduceInsurance', ['uint256', 'uint256', 'uint16', 'bool', 'address', 'uint256'], ['uint256'])) • read contracts/OpenLevV1.sol:72 (OpenLevV1.('addMarket', ['LPoolInterface', 'LPoolInterface', 'uint16', 'bytes'], ['uint16']))",FP,not-confirmed-alert,"C1=unclear; C2=fail; C3=unclear; C4=fail; C5=unclear | rationale=markets is consumed by addMarket/liquidate, but the sample does not identify a violated market invariant or a confirmed liquidation/accounting failure."
B0-A1-005,20260611,multi_var_cross_contract,7code,39,"7code::[multi_var_cross_contract] proposals, {proposals}  tx-set -> getGovReceipts(GovernorAlpha,address,uint256[]), state(uint256)","[multi_var_cross_contract] proposals, {proposals}  tx-set -> getGovReceipts(GovernorAlpha,address,uint256[]), state(uint256)","[multi_var_cross_contract] proposals, {proposals} tx-set -> getGovReceipts(GovernorAlpha,address,uint256[]), state(uint256) • write contracts/Governance/GovernorAlpha.sol:273 (GovernorAlpha.('_castVote', ['address', 'uint256', 'bool'], [])) • read contracts/Lens/CompoundLens.sol:180 (CompoundLens.('getGovReceipts', ['GovernorAlpha', 'address', 'uint256[]'], ['CompoundLens.GovReceipt[]']))",FP,not-confirmed-alert,C1=unclear; C2=fail; C3=fail; C4=fail; C5=unclear | rationale=proposal receipts/state reads are expected governance views. No evidence shows a stale proposal record producing an invalid vote/execution outcome.
B0-A1-006,20260611,multi_var_cross_contract,7code,41,"7code::[multi_var_cross_contract] proposals, {proposals}  tx-set -> execute(uint256), state(uint256)","[multi_var_cross_contract] proposals, {proposals}  tx-set -> execute(uint256), state(uint256)","[multi_var_cross_contract] proposals, {proposals} tx-set -> execute(uint256), state(uint256) • write contracts/Governance/GovernorAlpha.sol:273 (GovernorAlpha.('_castVote', ['address', 'uint256', 'bool'], [])) • write contracts/Governance/GovernorAlpha.sol:197 (GovernorAlpha.('execute', ['uint256'], [])) • read contracts/Governance/GovernorAlpha.sol:230 (GovernorAlpha.('state', ['uint256'], ['GovernorAlpha.ProposalState'])) • read contracts/Governance/GovernorAlpha.sol:196 (GovernorAlpha.('execute', ['uint256'], []))",FP,not-confirmed-alert,C1=unclear; C2=fail; C3=fail; C4=fail; C5=unclear | rationale=execute/state over proposals is normal GovernorAlpha lifecycle logic in the excerpt; no confirmed desynchronization or security sink is supplied.
B0-A1-007,20260611,multi_var_cross_contract,7code,74,"7code::[multi_var_cross_contract] comptrollerImplementation, {TMP_2839, admin, comptrollerImplementation, msg.sender}  tx-set -> _acceptImplementation(), _setCompRate(uint256)","[multi_var_cross_contract] comptrollerImplementation, {TMP_2839, admin, comptrollerImplementation, msg.sender}  tx-set -> _acceptImplementation(), _setCompRate(uint256)","[multi_var_cross_contract] comptrollerImplementation, {TMP_2839, admin, comptrollerImplementation, msg.sender} tx-set -> _acceptImplementation(), _setCompRate(uint256) • write contracts/Unitroller.sol:70 (Unitroller.('_acceptImplementation', [], ['uint256'])) • read contracts/Comptroller.sol:1149 (Comptroller.('adminOrInitializing', [], ['bool'])) • read contracts/Comptroller.sol:1364 (Comptroller.('_setCompRate', ['uint256'], []))",FP,not-confirmed-alert,C1=unclear; C2=fail; C3=unclear; C4=fail; C5=unclear | rationale=Unitroller implementation/admin checks are upgrade-control plumbing. The sample does not establish a bug in implementation/admin synchronization or a confirmed exploit.
B0-A1-008,20260611,multi_var_cross_contract,98quant-protocol,6,"98quant-protocol::[multi_var_cross_contract] oracleInfo, {oracleInfo}, {oracleInfo}  tx-set -> addOracle(address), getOracleId(address)","[multi_var_cross_contract] oracleInfo, {oracleInfo}, {oracleInfo}  tx-set -> addOracle(address), getOracleId(address)","[multi_var_cross_contract] oracleInfo, {oracleInfo}, {oracleInfo} tx-set -> addOracle(address), getOracleId(address) • write contracts/pricing/OracleRegistry.sol:52 (OracleRegistry.('addOracle', ['address'], ['uint256'])) • read contracts/pricing/OracleRegistry.sol:125 (OracleRegistry.('getOracleId', ['address'], ['uint256']))",FP,not-confirmed-alert,"C1=unclear; C2=fail; C3=fail; C4=fail; C5=unclear | rationale=OracleRegistry addOracle/getOracleId is a registry insert/read pair. The evidence does not show duplicate IDs, stale oracle metadata, or a security-relevant sink."
B0-A1-009,20260611,multi_var_cross_contract,10contracts,10,"10contracts::[multi_var_cross_contract] _locks, {_locks}, {_lockSet, _locks}  tx-set -> checkBalances(), lock(address,uint256,bytes)","[multi_var_cross_contract] _locks, {_locks}, {_lockSet, _locks}  tx-set -> checkBalances(), lock(address,uint256,bytes)",https://github.com/code-423n4/2021-05-visorfinance-findings/issues/61,TP,MV-SI,C1=pass; C2=pass; C3=pass; C4=pass; C5=pass | rationale=confirmed Visor issue: lock records and lock-set/accounting can credit two addresses for the same funds because lock() is not synchronized with deposited/custodied balances. The alert captures the _locks/_lockSet relation behind that accounting bug.
B0-A1-010,20260611,multi_var_cross_contract,123,12,"123::[multi_var_cross_contract] epochs, userLocks, _checkpointedVotes, {_checkpointedVotes}  tx-set -> mint(address,uint256)","[multi_var_cross_contract] epochs, userLocks, _checkpointedVotes, {_checkpointedVotes}  tx-set -> mint(address,uint256)",https://github.com/code-423n4/2022-05-aura-findings/issues/186,TP,MV-SI,"C1=pass; C2=pass; C3=pass; C4=pass; C5=pass | rationale=confirmed Aura issue: mint/lock state and vote checkpoints are coupled, but newly locked tokens are not checkpointed into voting power unless delegation state exists. The alert captures epochs/userLocks/_checkpointedVotes."
