oracle_id,source_dataset,source_category,source_subcategory,serial_number,reporting_time,bug_link,finding_slug,contest_slug,finding_id,project_slug,source_root_cause,source_exploitation_method,source_fix_strategy,raw_line,source_file
TOSEM-RC-DYNAMIC-DEPENDENT-UPDATE-OMISSION-001,TOSEM,Dynamic Dependent Update Omission,,1,2021-08-17,https://code4rena.com/reports/2021-07-wildcredit#h-02-lendingpairliquidateaccount-does-not-accrue-and-update-cumulativeinterestrate,2021-07-wildcredit#h-02,2021-07-wildcredit,h-02,wildcredit,The accumulated interest rate is not updated during account liquidation.,"Interest calculation error, the borrower bypassed interest payment through self liquidation.",Revise the previous accumulated interest rate update method.,"1|2021-08-17|[2021-07-wildcredit#h-02](https://code4rena.com/reports/2021-07-wildcredit#h-02-lendingpairliquidateaccount-does-not-accrue-and-update-cumulativeinterestrate)| The accumulated interest rate is not updated during account liquidation.| Interest calculation error, the borrower bypassed interest payment through self liquidation. | Revise the previous accumulated interest rate update method.",external/SolidityStateStudy/Inconsistent-State-Update-Vulnerabilities/Classification-by-Root-Causes/Dynamic Dependent Update Omission/README.md
TOSEM-RC-DYNAMIC-DEPENDENT-UPDATE-OMISSION-002,TOSEM,Dynamic Dependent Update Omission,,2,2021-09-15,https://code4rena.com/reports/2021-07-pooltogether#h-03-setyieldsource-leads-to-temporary-wrong-results,2021-07-pooltogether#h-03,2021-07-pooltogether,h-03,pooltogether,Token balances are not promptly updated when the contract switches revenue sources.,"The calculation of balance and shares is incorrect, resulting in users receiving undeserved shares.","Remove calls to the external functions transferFunds and setYieldSource, and restrict swapYieldSource to owner-only access.","2|2021-09-15|[2021-07-pooltogether#h-03](https://code4rena.com/reports/2021-07-pooltogether#h-03-setyieldsource-leads-to-temporary-wrong-results)|Token balances are not promptly updated when the contract switches revenue sources. | The calculation of balance and shares is incorrect, resulting in users receiving undeserved shares. | Remove calls to the external functions transferFunds and setYieldSource, and restrict swapYieldSource to owner-only access.",external/SolidityStateStudy/Inconsistent-State-Update-Vulnerabilities/Classification-by-Root-Causes/Dynamic Dependent Update Omission/README.md
TOSEM-RC-DYNAMIC-DEPENDENT-UPDATE-OMISSION-003,TOSEM,Dynamic Dependent Update Omission,,3,2021-11-30,https://code4rena.com/reports/2021-09-sushitrident-2#h-03-concentratedliquiditypoolmanagers-incentives-can-be-stolen,2021-09-sushitrident-2#h-03,2021-09-sushitrident-2,h-03,sushitrident,The reclaimIncentive function does not decrement the incentive.rewardsUnclaimed field.,The attacker repeatedly called the recaaimIncentive function to steal all tokens in the incentive pool.,Decrement the incentive.rewardsUnclaimed field by the withdrawn amount.,3|2021-11-30|[2021-09-sushitrident-2#h-03](https://code4rena.com/reports/2021-09-sushitrident-2#h-03-concentratedliquiditypoolmanagers-incentives-can-be-stolen)|The reclaimIncentive function does not decrement the incentive.rewardsUnclaimed field. | The attacker repeatedly called the recaaimIncentive function to steal all tokens in the incentive pool. | Decrement the incentive.rewardsUnclaimed field by the withdrawn amount.,external/SolidityStateStudy/Inconsistent-State-Update-Vulnerabilities/Classification-by-Root-Causes/Dynamic Dependent Update Omission/README.md
TOSEM-RC-DYNAMIC-DEPENDENT-UPDATE-OMISSION-004,TOSEM,Dynamic Dependent Update Omission,,4,2022-01-26,https://code4rena.com/reports/2021-09-defiprotocol#h-02-basketsolauctionburn-a-failed-auction-will-freeze-part-of-the-funds,2021-09-defiprotocol#h-02,2021-09-defiprotocol,h-02,defiprotocol,The auctionBurn function does not update ibRatio when burning auction bonds.,"The calculation of total supply was incorrect, resulting in some assets being frozen.",Update ibRatio based on the withdrawn amount in the auctionBurn function.,"4|2022-01-26|[2021-09-defiprotocol#h-02](https://code4rena.com/reports/2021-09-defiprotocol#h-02-basketsolauctionburn-a-failed-auction-will-freeze-part-of-the-funds)|The auctionBurn function does not update ibRatio when burning auction bonds. | The calculation of total supply was incorrect, resulting in some assets being frozen. | Update ibRatio based on the withdrawn amount in the auctionBurn function.",external/SolidityStateStudy/Inconsistent-State-Update-Vulnerabilities/Classification-by-Root-Causes/Dynamic Dependent Update Omission/README.md
TOSEM-RC-DYNAMIC-DEPENDENT-UPDATE-OMISSION-005,TOSEM,Dynamic Dependent Update Omission,,5,2021-11-23,https://code4rena.com/reports/2021-10-mochi#h-06-referrer-can-drain-referralfeepoolv0,2021-10-mochi#h-06,2021-10-mochi,h-06,mochi,The claimRewardAsMochi function does not reduce the user's reward balance.,The referrer can repeatedly claim the same reward until the fee pool is exhausted.,Decrement the user's reward balance in the claimRewardAsMochi function.,5|2021-11-23|[2021-10-mochi#h-06](https://code4rena.com/reports/2021-10-mochi#h-06-referrer-can-drain-referralfeepoolv0)|The claimRewardAsMochi function does not reduce the user's reward balance. | The referrer can repeatedly claim the same reward until the fee pool is exhausted. | Decrement the user's reward balance in the claimRewardAsMochi function.,external/SolidityStateStudy/Inconsistent-State-Update-Vulnerabilities/Classification-by-Root-Causes/Dynamic Dependent Update Omission/README.md
TOSEM-RC-DYNAMIC-DEPENDENT-UPDATE-OMISSION-006,TOSEM,Dynamic Dependent Update Omission,,6,2022-01-21,https://code4rena.com/reports/2021-11-bootfinance#h-03-swaputilssol-wrong-implementation,2021-11-bootfinance#h-03,2021-11-bootfinance,h-03,bootfinance,The tokenPrecisionMultipliers used in price calculations is not computed in real-time.,The attacker use old tokenPrecision Multipliers for transactions before the target price takes effect.,Change tokenPrecisionMultipliers to real-time calculation.,6|2022-01-21|[2021-11-bootfinance#h-03](https://code4rena.com/reports/2021-11-bootfinance#h-03-swaputilssol-wrong-implementation)| The tokenPrecisionMultipliers used in price calculations is not computed in real-time.| The attacker use old tokenPrecision Multipliers for transactions before the target price takes effect. | Change tokenPrecisionMultipliers to real-time calculation.,external/SolidityStateStudy/Inconsistent-State-Update-Vulnerabilities/Classification-by-Root-Causes/Dynamic Dependent Update Omission/README.md
TOSEM-RC-DYNAMIC-DEPENDENT-UPDATE-OMISSION-007,TOSEM,Dynamic Dependent Update Omission,,7,2022-02-09,https://code4rena.com/reports/2021-12-mellow#h-04-aavevault-does-not-update-tvl-on-depositwithdraw,2021-12-mellow#h-04,2021-12-mellow,h-04,mellow,The total value locked (TVL) is not promptly updated when users deposit or withdraw.,Wrong token share calculated using outdated TVL.,"First update the TVL, then proceed with other operations when depositing or withdrawing tokens.","7|2022-02-09|[2021-12-mellow#h-04](https://code4rena.com/reports/2021-12-mellow#h-04-aavevault-does-not-update-tvl-on-depositwithdraw)|The total value locked (TVL) is not promptly updated when users deposit or withdraw. | Wrong token share calculated using outdated TVL. | First update the TVL, then proceed with other operations when depositing or withdrawing tokens.",external/SolidityStateStudy/Inconsistent-State-Update-Vulnerabilities/Classification-by-Root-Causes/Dynamic Dependent Update Omission/README.md
TOSEM-RC-DYNAMIC-DEPENDENT-UPDATE-OMISSION-008,TOSEM,Dynamic Dependent Update Omission,,8,2023-03-07,https://code4rena.com/reports/2021-12-amun#h-01-unused-erc20-tokens-are-not-refunded-and-can-be-stolen-by-attacker,2021-12-amun#h-01,2021-12-amun,h-01,amun,The remaining tokens are not refunded.,Incorrect calculation and refund of remaining underlying tokens.,"Calculate and trade only the required token amount, then refund any remaining tokens to the user after the transaction.","8|2023-03-07|[2021-12-amun#h-01](https://code4rena.com/reports/2021-12-amun#h-01-unused-erc20-tokens-are-not-refunded-and-can-be-stolen-by-attacker)|The remaining tokens are not refunded. | Incorrect calculation and refund of remaining underlying tokens. | Calculate and trade only the required token amount, then refund any remaining tokens to the user after the transaction.",external/SolidityStateStudy/Inconsistent-State-Update-Vulnerabilities/Classification-by-Root-Causes/Dynamic Dependent Update Omission/README.md
TOSEM-RC-DYNAMIC-DEPENDENT-UPDATE-OMISSION-009,TOSEM,Dynamic Dependent Update Omission,,9,2022-05-03,https://code4rena.com/reports/2021-12-vader#h-10-previousprices-is-never-updated-upon-syncing-token-price,2021-12-vader#h-10,2021-12-vader,h-10,vader,The syncVaderPrice function does not update previousPrices after synchronizing prices.,The attacker uses the lagged previousPrices to calculate the liquidity assessment and manipulate the liquidity share.,Update the previousPrices array after price synchronization.,9|2022-05-03|[2021-12-vader#h-10](https://code4rena.com/reports/2021-12-vader#h-10-previousprices-is-never-updated-upon-syncing-token-price)|The syncVaderPrice function does not update previousPrices after synchronizing prices. | The attacker uses the lagged previousPrices to calculate the liquidity assessment and manipulate the liquidity share. | Update the previousPrices array after price synchronization.,external/SolidityStateStudy/Inconsistent-State-Update-Vulnerabilities/Classification-by-Root-Causes/Dynamic Dependent Update Omission/README.md
TOSEM-RC-DYNAMIC-DEPENDENT-UPDATE-OMISSION-010,TOSEM,Dynamic Dependent Update Omission,,10,2022-05-24,https://code4rena.com/reports/2022-02-concur#h-01-wrong-reward-token-calculation-in-masterchef-contract,2022-02-concur#h-01,2022-02-concur,h-01,concur,The reward distribution for old pools is not updated when adding new token pools.,Users are unable to accurately calculate the rewards they deserve.,Call massUpdate() to refresh rewards for all existing pools before adding a new one.,10|2022-05-24|[2022-02-concur#h-01](https://code4rena.com/reports/2022-02-concur#h-01-wrong-reward-token-calculation-in-masterchef-contract)|The reward distribution for old pools is not updated when adding new token pools. | Users are unable to accurately calculate the rewards they deserve. | Call massUpdate() to refresh rewards for all existing pools before adding a new one.,external/SolidityStateStudy/Inconsistent-State-Update-Vulnerabilities/Classification-by-Root-Causes/Dynamic Dependent Update Omission/README.md
TOSEM-RC-DYNAMIC-DEPENDENT-UPDATE-OMISSION-011,TOSEM,Dynamic Dependent Update Omission,,11,2022-06-02,https://code4rena.com/reports/2022-04-backd#h-02-function-lockfunds-in-topupactionlibrary-can-cause-serious-fund-lose-fee-and-capped-bypass-its-not-calling-stakervaultincreaseactionlockedbalance-when-transfers-stakes,2022-04-backd#h-02,2022-04-backd,h-02,backd,The actionLockedBalances[payer] is not updated for the payer when transferring stakes.,stakedAndActionLockedBalanceOf() calculates wrong balance,Call stakerVault.increaseActionLockedBalance to update after transferring funds.,11|2022-06-02|[2022-04-backd#h-02](https://code4rena.com/reports/2022-04-backd#h-02-function-lockfunds-in-topupactionlibrary-can-cause-serious-fund-lose-fee-and-capped-bypass-its-not-calling-stakervaultincreaseactionlockedbalance-when-transfers-stakes)| The actionLockedBalances[payer] is not updated for the payer when transferring stakes.| stakedAndActionLockedBalanceOf() calculates wrong balance | Call stakerVault.increaseActionLockedBalance to update after transferring funds.,external/SolidityStateStudy/Inconsistent-State-Update-Vulnerabilities/Classification-by-Root-Causes/Dynamic Dependent Update Omission/README.md
